project_path,test_success,maven_test_time,xml_test_time,overhead_time
4pr0n_ripme,false,144.087,142.716,1.370999999999981
4thline_cling,false,59.276,53.818,5.4580000000000055
Aconex_scrutineer,true,7.463,5.062,2.401
ActiveJpa_activejpa,true,8.359,7.187,1.1719999999999997
Adobe-Consulting-Services_acs-aem-commons,false,0,0,0
Adobe-Marketing-Cloud_aem-project-archetype,true,0.279,0,0.279
AdoptOpenJDK_jitwatch,true,19.471,17.901,1.5700000000000003
AnujaK_restfiddle,true,1.252,0,1.252
ArcBees_gwtchosen,true,1.895,0,1.895
Ardesco_Selenium-Maven-Template,true,1.933,0,1.933
Asquera_elasticsearch-http-basic,false,1.381,0,1.381
Atmosphere_nettosphere,true,45.754,44.181,1.5730000000000004
AxonFramework_Axon-trader,true,6.722,3.6620000000000004,3.06
Baeldung_spring-security-oauth,true,10.074,8.179,1.8949999999999996
Baeldung_spring-security-registration,true,1.275,0,1.275
BatooOrg_BatooJPA,true,1.416,0,1.416
Berico-Technologies_CLAVIN,false,8.895,7.8229999999999995,1.072
BroadleafCommerce_BroadleafCommerce,true,30.338,18.656999999999996,11.681000000000004
Bukkit_Bukkit,true,1.172,0.48100000000000004,0.6909999999999998
CamelCookbook_camel-cookbook-examples,false,318.557,301.97200000000004,16.58499999999998
CloudSlang_cloud-slang,true,125.086,97.33700000000002,27.74899999999998
CodeStory_fluent-http,false,30.269,28.307000000000016,1.961999999999982
Coding_WebIDE-Backend,false,0.578,0,0.578
Comcast_cmb,false,53.222,52.03699999999999,1.1850000000000094
CorfuDB_CorfuDB,false,0.976,0,0.976
DeemOpen_zkui,true,0.861,0.002,0.859
DigitalPebble_storm-crawler,true,8.261,5.875,2.3859999999999992
GlenKPeterson_Paguro,true,2.811,1.356999999999998,1.454000000000002
GoClipse_goclipse,true,17.716,0,17.716
GoogleCloudPlatform_DataflowJavaSDK,true,102.336,98.835,3.5010000000000048
Hidendra_LWC,false,2.09,0,2.09
HolgerHees_cloudsync,true,7.748,6.766,0.9820000000000002
HotswapProjects_HotswapAgent,false,2.569,0.489,2.08
HuaweiBigData_StreamCQL,false,2.135,0.9530000000000002,1.1819999999999995
HuaweiBigData_carbondata,false,0.849,0,0.849
INRIA_spoon,true,79.65899999999999,76.43299999999999,3.225999999999999
IanDarwin_Android-Cookbook-Examples,false,0,0,0
ImmobilienScout24_yum-repo-server,true,8.687,6.6720000000000015,2.014999999999998
JCTools_JCTools,true,227.78,224.4050000000001,3.3749999999999147
JSQLParser_JSqlParser,true,5.701,3.935999999999998,1.7650000000000015
JakeWharton_DiskLruCache,true,2.594,1.193,1.4009999999999998
JakubDziworski_Enkel-JVM-language,true,3.609,0.762,2.847
JeffLi1993_springboot-learning-example,false,0,0,0
JodaOrg_joda-time,true,3.827,2.191,1.6360000000000001
LiveRamp_hank,false,202.648,196.41200000000006,6.235999999999933
MachinePublishers_jBrowserDriver,true,0.919,0,0.919
Microsoft_Git-Credential-Manager-for-Mac-and-Linux,true,18.855,16.783000000000005,2.0719999999999956
ModeShape_modeshape,false,643.632,625.2699999999995,18.36200000000042
Moocar_logback-gelf,true,7.149,0.422,6.727
Multiverse_Multiverse-Core,true,16.144,9.221,6.922999999999998
NGDATA_hbase-indexer,false,3.711,0,3.711
NLPchina_elasticsearch-analysis-ansj,true,0.833,0,0.833
NLPchina_nlp-lang,true,20.815,19.942,0.8730000000000011
NanoHttpd_nanohttpd,true,22.554,11.848999999999997,10.705000000000002
Netflix_Surus,false,0.555,0,0.555
Nilhcem_FakeSMTP,false,1.539,0.167,1.3719999999999999
NoCheatPlus_NoCheatPlus,false,0.407,0,0.407
Nodeclipse_nodeclipse-1,true,48.296,0,48.296
Nukkit_Nukkit,false,0.199,0,0.199
OAuth-Apis_apis,true,12.754,8.892,3.862
OpenGamma_Strata,false,0.52,0,0.52
OpenGrok_OpenGrok,false,63.496,20.06200000000001,43.434
OpenHFT_Chronicle-Logger,true,14.728,4.2,10.527999999999999
OpenHFT_Java-Lang,false,0,0,0
OvercastNetwork_ProjectAres,true,20.096,15.608,4.4879999999999995
Parquet_parquet-format,false,2.685,0,2.685
PebbleTemplates_pebble,true,3.638,2.817999999999999,0.8200000000000007
PeteGoo_tcSlackBuildNotifier,true,2.505,1.5540000000000003,0.9509999999999996
RUB-NDS_WS-Attacker,true,32.001,25.954000000000004,6.0469999999999935
RaiMan_SikuliX-2014,true,5.011,0,5.011
Red5_red5-server,true,0.97,0,0.97
RoaringBitmap_RoaringBitmap,true,98.019,76.48400000000002,21.534999999999982
RuedigerMoeller_fast-serialization,true,0.712,0,0.712
RustDT_RustDT,true,17.92,0,17.92
ScienJus_smartqq,false,0.746,0,0.746
ScienJus_spring-authorization-manager,false,5.984,5.212,0.7720000000000002
