overhead_time,project_path,timecost_group,test_success,selection_group,xml_test_time,maven_test_time
1.370999999999981,4pr0n_ripme,medium,false,testable,142.716,144.087
5.4580000000000055,4thline_cling,short,false,testable,53.818,59.276
2.401,Aconex_scrutineer,short,true,testable,5.062,7.463
1.1719999999999997,ActiveJpa_activejpa,short,true,testable,7.187,8.359
0,Adobe-Consulting-Services_acs-aem-commons,short,false,untestable,0,0
0.279,Adobe-Marketing-Cloud_aem-project-archetype,short,true,untestable,0,0.279
1.5700000000000003,AdoptOpenJDK_jitwatch,short,true,testable,17.901,19.471
1.252,AnujaK_restfiddle,short,true,untestable,0,1.252
1.895,ArcBees_gwtchosen,short,true,untestable,0,1.895
1.933,Ardesco_Selenium-Maven-Template,short,true,untestable,0,1.933
1.381,Asquera_elasticsearch-http-basic,short,false,untestable,0,1.381
1.5730000000000004,Atmosphere_nettosphere,short,true,testable,44.181,45.754
3.06,AxonFramework_Axon-trader,short,true,testable,3.6620000000000004,6.722
1.8949999999999996,Baeldung_spring-security-oauth,short,true,testable,8.179,10.074
1.275,Baeldung_spring-security-registration,short,true,untestable,0,1.275
1.416,BatooOrg_BatooJPA,short,true,untestable,0,1.416
1.072,Berico-Technologies_CLAVIN,short,false,testable,7.8229999999999995,8.895
11.681000000000004,BroadleafCommerce_BroadleafCommerce,short,true,testable,18.656999999999996,30.338
0.6909999999999998,Bukkit_Bukkit,short,true,testable,0.48100000000000004,1.172
16.58499999999998,CamelCookbook_camel-cookbook-examples,long,false,testable,301.97200000000004,318.557
27.74899999999998,CloudSlang_cloud-slang,medium,true,testable,97.33700000000002,125.086
1.961999999999982,CodeStory_fluent-http,short,false,testable,28.307000000000016,30.269
0.578,Coding_WebIDE-Backend,short,false,untestable,0,0.578
1.1850000000000094,Comcast_cmb,short,false,testable,52.03699999999999,53.222
0.976,CorfuDB_CorfuDB,short,false,untestable,0,0.976
0.859,DeemOpen_zkui,short,true,testable,0.002,0.861
2.3859999999999992,DigitalPebble_storm-crawler,short,true,testable,5.875,8.261
1.454000000000002,GlenKPeterson_Paguro,short,true,testable,1.356999999999998,2.811
17.716,GoClipse_goclipse,short,true,untestable,0,17.716
3.5010000000000048,GoogleCloudPlatform_DataflowJavaSDK,medium,true,testable,98.835,102.336
2.09,Hidendra_LWC,short,false,untestable,0,2.09
0.9820000000000002,HolgerHees_cloudsync,short,true,testable,6.766,7.748
2.08,HotswapProjects_HotswapAgent,short,false,testable,0.489,2.569
1.1819999999999995,HuaweiBigData_StreamCQL,short,false,testable,0.9530000000000002,2.135
0.849,HuaweiBigData_carbondata,short,false,untestable,0,0.849
3.225999999999999,INRIA_spoon,medium,true,testable,76.43299999999999,79.65899999999999
0,IanDarwin_Android-Cookbook-Examples,short,false,untestable,0,0
2.014999999999998,ImmobilienScout24_yum-repo-server,short,true,testable,6.6720000000000015,8.687
3.3749999999999147,JCTools_JCTools,medium,true,testable,224.4050000000001,227.78
1.7650000000000015,JSQLParser_JSqlParser,short,true,testable,3.935999999999998,5.701
1.4009999999999998,JakeWharton_DiskLruCache,short,true,testable,1.193,2.594
2.847,JakubDziworski_Enkel-JVM-language,short,true,testable,0.762,3.609
0,JeffLi1993_springboot-learning-example,short,false,untestable,0,0
1.6360000000000001,JodaOrg_joda-time,short,true,testable,2.191,3.827
6.235999999999933,LiveRamp_hank,medium,false,testable,196.41200000000006,202.648
0.919,MachinePublishers_jBrowserDriver,short,true,untestable,0,0.919
2.0719999999999956,Microsoft_Git-Credential-Manager-for-Mac-and-Linux,short,true,testable,16.783000000000005,18.855
18.36200000000042,ModeShape_modeshape,long,false,testable,625.2699999999995,643.632
