mode,name,elapsed_time,r_time,r_skipped,r_tests,r_failures,t_user,t_sys,t_wall
ST,distributedlog,425,46.952999999999996,0,223,35,81.27,4.2,426.5
L0,distributedlog,423,44.483999999999995,0,223,35,76.99,3.94,423.9
ST,guava,344,321.49199999999945,0,812497,0,1031.5,8.38,345.4
L0,guava,347,323.81499999999994,0,812497,0,1058.66,8.57,347.89
ST,hive,385,251.17800000000003,0,1452,1,508.52,21.61,386.65
L0,hive,3402,2690.1570000000033,8,4382,2,2799.1,142.62,3403.74
ST,javaslang,422,358.12799999999953,5,15477,0,587.58,12.54,423.2
L0,javaslang,404,339.1779999999996,5,15477,0,568.95,12.12,404.94
ST,jersey,997,831.3129999999989,82,4584,3,2326.76,129.85,998.72
L0,jersey,991,831.6530000000008,82,4584,3,2314.74,128.89,992.73
ST,kryonet,288,287.04200000000003,0,16,12,6.25,0.22,289.19
L0,kryonet,725,108.96300000000001,0,16,11,6.68,0.31,725.99
ST,mahout,1075,1370.1340000000005,1,3823,0,1783.26,90.71,1076.47
L0,mahout,1147,1441.0880000000009,1,3823,0,1958.48,105.49,1148.31
ST,mustache.java,416,227.81099999999998,0,207,0,652.31,17.17,416.96
L0,mustache.java,415,227.62899999999996,0,207,0,642.03,17.39,416.65
ST,orientdb,645,758.0969999999993,134,7148,6,879.02,27.78,645.73
L0,orientdb,629,743.9179999999997,134,7148,6,877.98,26.63,630.21
ST,titan,763,751.0210000000002,0,316,1,347.93,46.82,763.98
L0,titan,772,760.4580000000002,0,316,1,359.69,47.58,773.48
ST,vert.x,410,399.6539999999997,3,2732,4,170.51,13.91,411.69
L0,vert.x,219,207.8259999999999,3,2732,2,168.19,13.62,220.67
