subject,elapsed_t,tests,balance,cpu_usage,iowait,cpu_idle
Activiti,239,1909,22.47,9.62,0.53,89.86
Algorithms,2,486,7.61,24.23,3.84,71.93
Bukkit,5,906,1.43,14.01,7.00,78.99
DataX,74,98,7.14,3.62,0.41,95.96
DiskLruCache,4,61,6.56,34.15,2.72,63.14
EventHub,189,21,0.0,1.33,8.73,89.94
FizzBuzzEnterpriseEdition,4,1,0.0,28.68,5.15,66.17
GCViewer,12,330,6.06,27.47,5.82,66.72
Gaffer,115,1275,8.31,34.82,3.54,61.64
HanLP,7,3,0.0,35.72,4.55,59.74
HdrHistogram,7,120,10.0,32.24,1.72,66.04
HikariCP,143,108,23.15,10.9,0.78,88.32
Java-Chronicle,99,31,25.81,14.66,3.95,81.39
JavaVerbalExpressions,2,73,17.81,34.72,1.88,63.40
OpenGrok,71,351,13.39,12.01,2.37,85.62
OpenTripPlanner,192,387,3.1,30.45,1.52,68.03
TrayNotification,4,3,0.0,21.1,4.70,74.19
YCSB,219,100,25.0,16.55,2.95,80.49
alluxio,464,1646,6.14,23.59,2.08,74.33
ambrose,13,18,27.78,15.61,7.31,77.08
android-maven-plugin,37,95,3.16,16.15,4.22,79.62
android-volley,8,100,9.0,40.96,2.07,56.97
antlr4,112,1585,60.57,22.76,1.26,75.98
async-http-client,143,1056,4.17,3.96,0.99,95.04
atmosphere,42,516,5.43,15.73,1.74,82.53
aws-sdk-java,228,1014,1.78,49.48,1.14,49.38
blade,5,3,66.67,34.85,3.19,61.96
byte-buddy,40,6981,23.05,29.81,5.06,65.13
closure-compiler,78,11043,33.19,45.01,1.30,53.69
commafeed,40,51,11.76,9.09,8.37,82.54
crawler4j,6,8,25.0,28.52,5.44,66.04
cucumber-jvm,77,1209,9.1,32.35,3.55,64.10
curator,86,44,47.73,2.39,0.58,97.03
dex2jar,19,586,13.82,40.59,3.00,56.41
disconf,9,28,39.29,26.45,4.04,69.51
distributedlog,429,223,17.49,2.47,0.25,97.29
disunity,4,164,23.17,22.11,1.70,76.19
dropwizard,15477,1178,27.59,3.35,0.18,96.47
druid,66,3873,1.65,21.11,2.29,76.59
dubbo,54,1040,0.87,6.09,0.99,92.92
elastic-job,37,713,3.79,12.25,1.44,86.31
error-prone,43,1702,63.34,35.3,1.35,63.35
failsafe,10,298,9.73,30.12,1.34,68.53
fastjson,33,3512,13.04,20.14,5.68,74.19
feign,107,334,1.2,2.38,0.35,97.27
flink,510,6240,8.53,37.63,2.20,60.17
graphhopper,18,1321,12.57,24.38,4.10,71.52
graylog2-server,250,1210,13.64,42.1,3.55,54.35
gs-collections,20,166,10.24,21.31,6.93,71.75
guava,320,812497,0.29,38.95,0.07,60.99
guice,44,1241,38.28,33.9,1.42,64.67
hadoop,14359,8510,18.58,9.25,0.31,90.44
hbase,5390,3364,16.96,20.52,1.82,77.66
helios,114,457,30.2,24.94,7.09,67.97
hive,3431,4382,7.78,15.27,2.74,81.99
http-request,4,163,35.58,32.35,3.01,64.64
immutables,15,273,26.74,20.62,6.15,73.23
java-apns,73,111,13.51,3.04,0.23,96.74
java-design-patterns,150,4268,1.15,25.17,1.67,73.16
javacpp,24,26,19.23,14.5,2.18,83.33
javaee7-samples,9,1,0.0,30.66,6.86,62.49
javapoet,8,271,37.64,30.26,0.72,69.02
javaslang,390,15477,0.07,17.38,0.28,82.33
jedis,3,539,26.16,36.59,0.75,62.66
jeromq,32,88,14.77,7.41,0.42,92.17
jersey,1049,4447,26.15,27.19,0.40,72.41
jimfs,4,5830,2.57,30.21,1.95,67.83
jjwt,12,273,7.33,35.27,1.17,63.56
joda-time,6,4201,2.55,31.89,1.77,66.34
jsonschema2pojo,21,157,1.27,24.59,5.69,69.72
jsoup,4,510,9.02,36.45,2.63,60.93
jstorm,367,43,13.95,6.28,0.29,93.44
junit4,12,967,2.17,34.34,1.19,64.47
jvm-tools,35,112,14.29,18.89,0.80,80.32
killbill,121,1152,1.91,18.79,1.32,79.89
kryonet,97,16,18.75,1.0,0.07,98.93
languagetool,243,814,14.62,26.62,1.54,71.84
libgdx,9,30,23.33,21.79,5.46,72.76
mahout,1201,3823,3.24,19.41,7.22,73.38
mapdb,785,3701,2.52,8.86,13.87,77.28
metrics,56,427,9.13,9.9,12.73,77.37
moshi,7,350,11.71,28.3,11.91,59.79
motan,22,113,16.81,6.26,12.66,81.07
mustache.java,433,207,10.14,20.15,1.71,78.13
mysql_perf_analyzer,5,1,100.0,34.87,3.11,62.03
nanohttpd,44,239,18.83,29.94,0.76,69.30
neo4j,6525,60916,1.57,6.73,6.73,86.54
ninja,38,744,14.52,27.47,4.34,68.19
nutz,68,2193,1.92,8.76,1.01,90.23
okhttp,12,28,17.86,23.89,1.79,74.32
okio,114,692,2.46,17.35,0.15,82.50
orbit,46,205,19.02,14.32,1.66,84.02
orientdb,657,7148,3.78,16.48,5.50,78.03
oryx,47,208,25.48,17.15,2.08,80.77
otto,7,52,3.85,27.36,4.48,68.15
parceler,7,82,47.56,34.38,2.86,62.77
pinot,3755,1250,14.0,6.17,8.30,85.53
presto,1353,8844,9.79,57.74,0.72,41.54
pulsar,1018,1704,12.91,2.66,1.66,95.67
querydsl,157,4325,5.11,17.0,5.37,77.64
reflections,4,69,17.39,16.98,6.50,76.52
rest-assured,28,417,37.17,34.73,3.83,61.45
retrofit,20,389,23.14,33.46,2.70,63.84
robovm,24,180,16.11,23.43,7.20,69.36
scribejava,8,109,7.34,39.64,3.51,56.85
sharding-jdbc,47,964,37.14,25.31,1.08,73.61
sms-backup-plus,13,193,30.05,35.74,4.71,59.55
solo,18,198,28.28,14.45,1.51,84.05
sonarqube,49,1585,0.69,12.07,2.22,85.71
spark,22,291,12.03,26.11,1.41,72.49
spring-boot-admin,125,144,2.08,11.39,4.15,84.45
spring-mvc-showcase,18,81,7.41,10.34,1.56,88.10
spring-petclinic,10,62,53.23,32.07,4.33,63.60
spring-security-oauth,22,706,19.41,25.01,4.20,70.79
stream-lib,92,147,9.52,15.62,0.19,84.19
swagger-core,25,1404,7.26,44.41,1.78,53.81
titan,759,316,20.89,6.16,0.46,93.38
torodb,14,121,14.05,19.7,4.64,75.67
twitter4j,5,148,1.35,14.99,4.59,80.41
undertow,160,669,10.01,9.32,1.66,89.02
unirest-java,20,45,55.56,6.1,0.49,93.41
vectalign,3,9,33.33,38.79,0.63,60.58
vert.x,218,2732,8.78,10.23,0.40,89.37
webmagic,9,33,18.18,23.23,1.48,75.29
weixin-java-tools,11,38,13.16,8.41,2.60,88.98
wildfly,208,980,25.1,27.09,3.11,69.79
wire,9,416,21.15,36.51,2.84,60.65
zipkin,186,808,3.71,8.51,4.01,87.48
