mode,name,elapsed_time,r_time,r_skipped,r_tests,r_failures,t_user,t_sys,t_wall
L0,distributedlog,424,46.018,0,223,36,77.66,4.28,425.76
ST,distributedlog,425,46.38400000000001,0,223,36,79.71,4.11,425.88
L0,guava,343,320.49000000000007,0,812497,0,1043.06,8.08,344.14
ST,guava,342,317.8719999999999,0,812497,0,1033.81,8.37,343.22
L0,hive,395,254.35700000000003,0,1452,1,514.75,16.96,396.4
ST,hive,3412,2707.3750000000027,8,4382,2,2793.93,122.6,3413.96
L0,javaslang,418,354.13799999999935,5,15477,0,572.19,12.36,419.7
ST,javaslang,416,352.3939999999997,5,15477,0,577.4,11.31,417.32
L0,jersey,866,741.6339999999992,82,4420,0,1905.8,111.73,868.38
ST,jersey,865,734.2080000000002,82,4420,0,1914.13,111.53,867.22
L0,kryonet,1381,672.8499999999999,0,16,4,38.76,9.79,1382.24
ST,kryonet,1207,1206.167,0,16,13,6.66,0.39,1208.11
L0,mahout,1115,1409.6279999999992,1,3823,0,1890.51,101.96,1116.31
ST,mahout,1107,1392.6799999999994,1,3823,0,1875.82,108.72,1108.82
L0,mustache.java,416,227.67500000000004,0,207,0,653.3,17.27,416.95
ST,mustache.java,415,227.78400000000005,0,207,0,643.35,17.25,416.54
L0,orientdb,646,758.0629999999984,134,7148,6,880.16,25.84,646.82
ST,orientdb,620,731.5089999999992,134,7148,6,878.52,24.82,621.55
L0,titan,767,755.144,0,316,1,357.56,47.31,767.92
ST,titan,766,754.722,0,316,1,363.73,48.44,767.68
L0,vert.x,220,209.599,3,2732,2,174.36,14.52,221.36
ST,vert.x,222,208.3279999999999,3,2732,2,173.35,13.67,223.83
