mode,name,elapsed_time,r_time,r_skipped,r_tests,r_failures,t_user,t_sys,t_wall
L0,Activiti,239,235.73799999999963,0,1909,0,175.6,8.03,239.97
ST,Activiti,239,236.4549999999998,0,1909,0,175.32,8.42,240.4
L0,Algorithms,1.121,0.08600000000000005,0,486,0,6.58,0.19,1.82
ST,Algorithms,0.891,0.020000000000000007,0,486,0,5.18,0.2,1.58
L0,Bukkit,2.966,1.0250000000000004,3,906,0,6.83,0.22,3.7
ST,Bukkit,1.160,0.26200000000000007,3,906,0,6.07,0.16,1.83
L0,DataX,72,70.84900000000002,0,98,2,20.84,0.4,73.35
ST,DataX,71,70.488,0,98,2,20.13,0.42,72.11
L0,DiskLruCache,2.156,1.2369999999999974,0,61,0,6.72,0.41,2.84
ST,DiskLruCache,1.755,0.9660000000000001,0,61,0,6.97,0.37,2.43
L0,EventHub,176,174.95499999999998,0,21,0,14.36,1.07,177.62
ST,EventHub,156,154.81099999999998,0,21,0,12.87,1.0,157.23
L0,FizzBuzzEnterpriseEdition,1.988,0.002,0,1,1,8.12,0.18,2.67
ST,FizzBuzzEnterpriseEdition,1.528,0.583,0,1,1,7.7,0.18,2.2
L0,GCViewer,6.001,3.676999999999998,3,330,0,25.76,0.81,6.68
ST,GCViewer,5.454,3.3759999999999994,3,330,0,22.98,0.72,6.14
L0,Gaffer,84,23.19200000000001,0,1275,0,314.69,9.4,85.06
ST,Gaffer,84,23.510000000000016,0,1275,0,314.95,8.92,84.86
L0,HanLP,4.609,0.941,0,3,1,18.17,0.53,5.3
ST,HanLP,3.726,0.56,0,3,1,17.21,0.44,4.41
L0,HdrHistogram,6.421,4.4719999999999995,0,120,0,21.06,0.27,7.12
ST,HdrHistogram,5.616,4.090999999999999,0,120,0,19.9,0.33,6.33
L0,HikariCP,147,120.63000000000001,0,108,0,119.78,2.78,147.99
ST,HikariCP,140,115.82800000000002,0,108,0,112.34,2.56,141.55
L0,Java-Chronicle,92,90.32500000000002,1,31,0,104.12,3.78,92.7
ST,Java-Chronicle,124,122.509,1,31,0,99.6,3.67,124.95
L0,JavaVerbalExpressions,0.994,0.037,1,73,0,5.42,0.16,1.68
ST,JavaVerbalExpressions,0.772,0.013000000000000001,1,73,0,4.87,0.13,1.46
L0,OpenGrok,62,19.394999999999992,0,351,13,65.92,3.68,63.25
ST,OpenGrok,62,18.756999999999998,0,351,13,64.16,4.08,63.54
L0,OpenTripPlanner,14.521,140.8290000000001,2,387,0,38.26,0.74,15.38
ST,OpenTripPlanner,155,137.60199999999998,2,387,0,445.22,5.36,156.77
L0,TrayNotification,2.727,0.77,0,3,1,7.74,0.3,3.45
ST,TrayNotification,1.733,0.584,0,3,1,6.47,0.27,2.4
L0,YCSB,192,110.753,6,100,0,270.83,20.94,193.33
ST,YCSB,180,110.69800000000001,6,100,0,270.84,19.68,180.98
L0,ambrose,4.257,1.483,0,18,0,15.26,0.48,4.96
ST,ambrose,4.230,1.482,0,18,0,15.24,0.53,4.97
L0,android-maven-plugin,23.377,12.436000000000002,11,95,6,49.64,1.37,24.2
ST,android-maven-plugin,22.720,12.517,11,95,6,46.03,1.07,23.59
L0,android-volley,5.609,4.027999999999999,0,100,0,21.58,0.42,6.29
ST,android-volley,5.770,4.166999999999999,0,100,0,26.0,0.55,6.45
L0,antlr4,105,100.26400000000001,0,1585,629,191.68,11.58,106.15
ST,antlr4,107,102.04400000000003,0,1585,629,191.74,11.24,108.24
L0,async-http-client,141,212.5160000000002,0,1056,4,39.78,2.56,142.68
ST,async-http-client,139,208.31699999999987,0,1056,4,39.71,2.58,140.15
L0,atmosphere,36.201,53.965000000000046,0,516,0,49.68,1.44,36.97
ST,atmosphere,35.103,51.942,0,516,0,50.11,1.44,35.88
L0,aws-sdk-java,216,190.43400000000003,0,1014,0,944.0,4.08,217.63
ST,aws-sdk-java,200,177.66299999999998,0,1014,0,850.23,3.95,202.41
L0,blade,3.302,0.757,0,3,1,14.12,0.39,4.01
ST,blade,3.421,0.689,0,3,1,14.7,0.44,4.15
L0,byte-buddy,22.424,8.961999999999996,31,6981,0,82.31,1.74,23.26
ST,byte-buddy,22.810,9.43699999999999,31,6981,0,82.35,1.96,23.7
L0,closure-compiler,72,33.061999999999934,0,11043,0,270.64,8.61,73.25
ST,closure-compiler,72,31.573999999999927,0,11043,0,286.72,8.24,73.65
L0,commafeed,32.067,1.842,0,51,0,26.78,0.75,32.81
ST,commafeed,15.231,1.421,0,51,0,26.13,0.54,16.04
L0,crawler4j,3.973,0.625,0,8,0,13.83,0.25,4.7
ST,crawler4j,2.519,0.33599999999999997,0,8,0,11.84,0.24,3.25
