SUBJECT,URL
react-native,https://github.com/facebook/react-native
elasticsearch,https://github.com/elastic/elasticsearch
RxJava,https://github.com/ReactiveX/RxJava
retrofit,https://github.com/square/retrofit
okhttp,https://github.com/square/okhttp
java-design-patterns,https://github.com/iluwatar/java-design-patterns
Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader
butterknife,https://github.com/JakeWharton/butterknife
guava,https://github.com/google/guava
iosched,https://github.com/google/iosched
android-best-practices,https://github.com/futurice/android-best-practices
MPAndroidChart,https://github.com/PhilJay/MPAndroidChart
EventBus,https://github.com/greenrobot/EventBus
picasso,https://github.com/square/picasso
leakcanary,https://github.com/square/leakcanary
glide,https://github.com/bumptech/glide
fresco,https://github.com/facebook/fresco
zxing,https://github.com/zxing/zxing
spring-framework,https://github.com/spring-projects/spring-framework
libgdx,https://github.com/libgdx/libgdx
SlidingMenu,https://github.com/jfeinstein10/SlidingMenu
RxAndroid,https://github.com/ReactiveX/RxAndroid
android-async-http,https://github.com/loopj/android-async-http
storm,https://github.com/nathanmarz/storm
androidannotations,https://github.com/androidannotations/androidannotations
ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator
spring-boot,https://github.com/spring-projects/spring-boot
netty,https://github.com/netty/netty
PhotoView,https://github.com/chrisbanes/PhotoView
weex,https://github.com/alibaba/weex
material-dialogs,https://github.com/afollestad/material-dialogs
Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh
MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary
Hystrix,https://github.com/Netflix/Hystrix
Material-Animations,https://github.com/lgvalle/Material-Animations
ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock
plaid,https://github.com/nickbutcher/plaid
HomeMirror,https://github.com/HannahMitt/HomeMirror
fastjson,https://github.com/alibaba/fastjson
AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout
Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture
