name,url
Bukkit,https://github.com/Bukkit/Bukkit
javaslang,https://github.com/javaslang/javaslang
caliper,https://github.com/google/caliper
druid,https://github.com/alibaba/druid
vert.x,https://github.com/eclipse/vert.x
scala-maven-plugin,https://github.com/davidB/scala-maven-plugin
tomee,https://github.com/apache/tomee
bookkeeper,https://github.com/apache/bookkeeper
httl,https://github.com/httl/httl
LWC,https://github.com/Hidendra/LWC
xiaov,https://github.com/b3log/xiaov
neo4j,https://github.com/neo4j/neo4j
github-plugin,https://github.com/jenkinsci/github-plugin
netty-in-action,https://github.com/normanmaurer/netty-in-action
netty-chat,https://github.com/im-qq/netty-chat
nlp-lang,https://github.com/NLPchina/nlp-lang
SimpleFlatMapper,https://github.com/arnaudroger/SimpleFlatMapper
keycloak,https://github.com/keycloak/keycloak
core,https://github.com/weld/core
ansj_seg,https://github.com/NLPchina/ansj_seg
Luyten,https://github.com/deathmarine/Luyten
hazelcast,https://github.com/hazelcast/hazelcast
ardublock,https://github.com/taweili/ardublock
socket.io-benchmarking,https://github.com/drewww/socket.io-benchmarking
spring-security-oauth,https://github.com/Baeldung/spring-security-oauth
cling,https://github.com/4thline/cling
bitcoinj,https://github.com/bitcoinj/bitcoinj
mina,https://github.com/apache/mina
vraptor,https://github.com/caelum/vraptor
huntbugs,https://github.com/amaembo/huntbugs
mahout,https://github.com/apache/mahout
jpetstore-6,https://github.com/mybatis/jpetstore-6
jbehave-core,https://github.com/jbehave/jbehave-core
spring-mvc-angularjs,https://github.com/xvitcoder/spring-mvc-angularjs
keywhiz,https://github.com/square/keywhiz
YCSB,https://github.com/brianfrankcooper/YCSB
giraph,https://github.com/apache/giraph
activemq-artemis,https://github.com/apache/activemq-artemis
jetty.project,https://github.com/eclipse/jetty.project
acs-aem-commons,https://github.com/Adobe-Consulting-Services/acs-aem-commons
cometd,https://github.com/cometd/cometd
maven,https://github.com/apache/maven
spring-mvc-mini,https://github.com/hot13399/spring-mvc-mini
android-common,https://github.com/serso/android-common
smooks,https://github.com/smooks/smooks
dynjs,https://github.com/dynjs/dynjs
protostuff,https://github.com/protostuff/protostuff
stripe-java,https://github.com/stripe/stripe-java
jforum3,https://github.com/rafaelsteil/jforum3
hbase-indexer,https://github.com/NGDATA/hbase-indexer
spring-mvc-chat,https://github.com/rstoyanchev/spring-mvc-chat
pysonar2,https://github.com/yinwang0/pysonar2
gwt-maven-archetypes,https://github.com/tbroyer/gwt-maven-archetypes
AngularBeans,https://github.com/bessemHmidi/AngularBeans
dl4j-examples,https://github.com/deeplearning4j/dl4j-examples
openrtb,https://github.com/google/openrtb
spring-data-examples,https://github.com/ttrelle/spring-data-examples
jitwatch,https://github.com/AdoptOpenJDK/jitwatch
struts-examples,https://github.com/apache/struts-examples
optaplanner,https://github.com/droolsjbpm/optaplanner
jena-examples,https://github.com/castagna/jena-examples
lavagna,https://github.com/digitalfondue/lavagna
nd4j,https://github.com/deeplearning4j/nd4j
objenesis,https://github.com/easymock/objenesis
dashboard-demo,https://github.com/vaadin/dashboard-demo
camunda-bpm-platform,https://github.com/camunda/camunda-bpm-platform
vraptor4,https://github.com/caelum/vraptor4
kite,https://github.com/kite-sdk/kite
REST-With-Spring,https://github.com/eugenp/REST-With-Spring
MCProtocolLib,https://github.com/Steveice10/MCProtocolLib
mybatis-generator-gui,https://github.com/astarring/mybatis-generator-gui
spring-boot-admin,https://github.com/codecentric/spring-boot-admin
soapui,https://github.com/SmartBear/soapui
lolibox,https://github.com/chocotan/lolibox
red5-server,https://github.com/Red5/red5-server
spring-mvc-quickstart-archetype,https://github.com/kolorobot/spring-mvc-quickstart-archetype
JDeploy,https://github.com/wucao/JDeploy
idecore,https://github.com/forcedotcom/idecore
sling,https://github.com/apache/sling
maven-color,https://github.com/jcgay/maven-color
