subject,files,L0,L1,L2,L3,LX,L1F,L0F
ActionBarSherlock,10,10,0,0,0,0,0,0
ActiveAndroid,2,2,0,0,0,0,0,0
Activiti,51,46,0,0,0,0,0,1
Algorithms,1,1,0,0,0,0,0,0
Android-PullToRefresh,6,6,0,0,0,0,0,0
Bukkit,1,1,0,0,0,0,0,0
ChatSecureAndroid,1,1,0,0,0,0,0,0
DataX,42,40,0,0,0,0,1,0
DiskLruCache,1,1,0,0,0,0,0,0
EventHub,3,3,0,0,0,0,0,0
FizzBuzzEnterpriseEdition,1,1,0,0,0,0,0,0
GCViewer,1,1,0,0,0,0,0,0
Gaffer,22,21,0,0,0,0,1,1
HanLP,1,1,0,0,0,0,0,0
HoloEverywhere,6,6,0,0,0,0,0,0
Java-Chronicle,7,7,0,0,0,0,0,0
JavaVerbalExpressions,1,1,0,0,0,0,0,0
KeyBox,1,1,0,0,0,0,0,0
ListViewAnimations,5,5,0,0,0,0,0,0
Metamorphosis,12,11,0,0,0,0,0,1
Mycat-Server,1,1,0,0,0,0,0,0
NineOldAndroids,3,3,0,0,0,0,0,0
OpenGrok,5,3,0,0,0,0,0,1
Quality-Tools-for-Android,6,6,0,0,0,0,0,0
RocketMQ,11,10,0,0,0,0,0,0
SlidingMenu,3,3,0,0,0,0,0,0
StaggeredGridView,1,1,0,0,0,0,0,0
StickyGridHeaders,3,3,0,0,0,0,0,0
TrayNotification,1,1,0,0,0,0,0,0
ViewPagerIndicator,3,3,0,0,0,0,0,0
YCSB,37,36,0,0,0,0,0,0
acra,1,1,0,0,0,0,0,0
alluxio,27,25,0,0,0,0,0,0
ambrose,8,8,0,0,0,0,0,0
android-GridViewWithHeaderAndFooter,2,2,0,0,0,0,0,0
android-Ultra-Pull-To-Refresh,5,5,0,0,0,0,0,0
android-auto-scroll-view-pager,1,1,0,0,0,0,0,0
android-common,1,1,0,0,0,0,0,0
android-database-sqlcipher,1,1,0,0,0,0,0,0
android-maven-plugin,59,58,0,0,0,0,0,0
android-pdfview,3,3,0,0,0,0,0,0
android-sliding-layer-lib,3,3,0,0,0,0,0,0
android-volley,1,1,0,0,0,0,0,0
androidquery,1,1,0,0,0,0,0,0
ansj_seg,7,7,0,0,0,0,0,0
antlr4,7,5,0,0,0,0,0,0
async-http-client,14,13,0,0,0,0,0,0
atmosphere,11,11,0,0,0,0,0,0
auto,9,8,0,0,0,0,0,0
aws-sdk-java,78,77,0,0,0,0,0,0
base-adapter-helper,3,3,0,0,0,0,0,0
binnavi,1,1,0,0,0,0,0,0
bitcoinj,6,5,0,0,0,0,0,0
blade,8,8,0,0,0,0,0,0
blueprints,10,8,0,0,0,0,0,0
byte-buddy,9,9,0,0,0,0,0,0
bytecode-viewer,1,1,0,0,0,0,0,0
cachecloud,8,6,0,0,0,0,0,0
camel,572,454,0,0,0,0,0,58
canal,18,17,0,0,0,0,0,0
che,233,215,0,0,0,0,0,0
closure-compiler,2,2,0,0,0,0,0,1
commafeed,1,1,0,0,0,0,0,0
crawler4j,1,1,0,0,0,0,0,0
cube-sdk,3,3,0,0,0,0,0,0
cucumber-jvm,42,38,0,0,0,0,0,0
curator,1,0,0,0,0,0,0,1
dagger,55,55,0,0,0,0,0,0
dbeaver,40,40,0,0,0,0,0,0
deeplearning4j,20,18,0,0,0,0,0,0
dex2jar,10,10,0,0,0,0,0,0
disconf,4,3,0,0,0,0,0,0
distributedlog,12,9,0,0,0,0,0,1
disunity,4,4,0,0,0,0,0,0
drag-sort-listview,3,3,0,0,0,0,0,0
droid-fu,1,1,0,0,0,0,0,0
dropwizard,38,36,0,2,0,0,0,1
dubbo,59,58,0,0,0,0,0,1
elastic-job,14,13,0,0,0,0,0,0
elasticsearch-river-mongodb,1,1,0,0,0,0,0,0
elephant-bird,14,12,0,0,0,0,0,0
error-prone,14,13,0,0,0,0,0,0
failsafe,1,1,0,0,0,0,0,0
feign,16,16,0,0,0,0,0,0
flink,95,81,0,0,0,0,0,8
flyway,28,26,1,1,0,0,0,0
frontend-maven-plugin,7,7,0,0,0,0,0,0
gephi,73,72,0,0,0,0,0,0
graphhopper,8,7,0,0,0,0,0,0
graylog2-server,9,7,0,0,0,0,0,3
gremlin,4,3,0,0,0,0,0,0
gs-collections,18,17,0,0,0,0,0,8
guava,5,1,0,0,0,0,0,0
guice,19,14,0,0,0,0,0,0
h2o-2,3,1,0,0,0,0,0,0
hadoop,73,55,0,0,0,0,0,6
hazelcast,6,8,0,0,0,0,0,0
hbase,45,38,0,0,0,0,0,1
helios,10,9,0,0,0,0,0,3
hive,58,55,0,0,0,0,0,0
http-request,2,2,0,0,0,0,0,0
ignition,13,13,0,0,0,0,0,0
immutables,20,20,0,0,0,0,0,0
jOOQ,22,22,0,0,0,0,0,0
java-apns,1,1,0,0,0,0,0,0
java-design-patterns,94,91,0,0,0,0,0,0
java-string-similarity,1,1,0,0,0,0,0,0
javacv,1,1,0,0,0,0,0,0
javaee7-samples,260,253,0,0,0,0,0,0
javapoet,1,1,0,0,0,0,0,0
javaslang,7,6,0,0,0,0,0,0
jeromq,1,1,0,0,0,0,0,0
jersey,357,315,0,0,3,0,4,8
jetty.project,141,123,0,0,0,0,0,4
jfinal,1,1,0,0,0,0,0,0
jimfs,2,2,0,0,0,0,0,0
jjwt,1,1,0,0,0,0,0,0
jmxtrans,17,15,0,0,0,0,0,0
joda-time,1,1,0,0,0,0,0,0
jsonschema2pojo,11,9,0,0,0,0,0,0
jsoup,1,1,0,0,0,0,0,0
jstorm,16,12,0,0,0,0,0,1
junit4,1,0,0,1,0,0,0,0
jvm-tools,12,12,0,0,0,0,0,0
