subject,files,L0,L1,L2,L3,LX,L1F,L0F
ActionBarSherlock,1,1,0,0,0,0,0,0
ActiveAndroid,1,1,0,0,0,0,0,0
Algorithms,1,1,0,0,0,0,0,0
Android-PullToRefresh,1,1,0,0,0,0,0,0
Bukkit,1,1,0,0,0,0,0,0
ChatSecureAndroid,1,1,0,0,0,0,0,0
DataX,1,1,0,0,0,0,0,0
DiskLruCache,1,1,0,0,0,0,0,0
EventHub,1,1,0,0,0,0,0,0
FizzBuzzEnterpriseEdition,1,1,0,0,0,0,0,0
GCViewer,1,1,0,0,0,0,0,0
Gaffer,1,0,0,0,0,0,1,1
HanLP,1,1,0,0,0,0,0,0
HoloEverywhere,1,1,0,0,0,0,0,0
Java-Chronicle,1,1,0,0,0,0,0,0
JavaVerbalExpressions,1,1,0,0,0,0,0,0
KeyBox,1,1,0,0,0,0,0,0
ListViewAnimations,1,1,0,0,0,0,0,0
Metamorphosis,1,0,0,0,0,0,0,1
Mycat-Server,1,1,0,0,0,0,0,0
NineOldAndroids,1,1,0,0,0,0,0,0
OpenGrok,1,0,0,0,0,0,0,1
Quality-Tools-for-Android,1,1,0,0,0,0,0,0
SlidingMenu,1,1,0,0,0,0,0,0
StaggeredGridView,1,1,0,0,0,0,0,0
StickyGridHeaders,1,1,0,0,0,0,0,0
TrayNotification,1,1,0,0,0,0,0,0
ViewPagerIndicator,1,1,0,0,0,0,0,0
YCSB,1,1,0,0,0,0,0,0
acra,1,1,0,0,0,0,0,0
ambrose,1,1,0,0,0,0,0,0
android-GridViewWithHeaderAndFooter,1,1,0,0,0,0,0,0
android-Ultra-Pull-To-Refresh,1,1,0,0,0,0,0,0
android-auto-scroll-view-pager,1,1,0,0,0,0,0,0
android-common,1,1,0,0,0,0,0,0
android-database-sqlcipher,1,1,0,0,0,0,0,0
android-pdfview,1,1,0,0,0,0,0,0
android-sliding-layer-lib,1,1,0,0,0,0,0,0
android-volley,1,1,0,0,0,0,0,0
androidquery,1,1,0,0,0,0,0,0
ansj_seg,1,1,0,0,0,0,0,0
antlr4,1,1,0,0,0,0,0,0
atmosphere,1,1,0,0,0,0,0,0
auto,1,1,0,0,0,0,0,0
base-adapter-helper,1,1,0,0,0,0,0,0
binnavi,1,1,0,0,0,0,0,0
bitcoinj,1,1,0,0,0,0,0,0
blade,1,1,0,0,0,0,0,0
byte-buddy,1,1,0,0,0,0,0,0
bytecode-viewer,1,1,0,0,0,0,0,0
che,1,1,0,0,0,0,0,0
closure-compiler,1,1,0,0,0,0,0,1
commafeed,1,1,0,0,0,0,0,0
crawler4j,1,1,0,0,0,0,0,0
cube-sdk,1,1,0,0,0,0,0,0
curator,1,0,0,0,0,0,0,1
dagger,1,1,0,0,0,0,0,0
dbeaver,1,1,0,0,0,0,0,0
deeplearning4j,1,1,0,0,0,0,0,0
dex2jar,1,1,0,0,0,0,0,0
distributedlog,1,0,0,0,0,0,0,1
disunity,1,1,0,0,0,0,0,0
drag-sort-listview,1,1,0,0,0,0,0,0
droid-fu,1,1,0,0,0,0,0,0
dropwizard,1,1,0,1,0,0,0,0
dubbo,1,0,0,0,0,0,0,1
elasticsearch-river-mongodb,1,1,0,0,0,0,0,0
error-prone,1,1,0,0,0,0,0,0
failsafe,1,1,0,0,0,0,0,0
feign,1,1,0,0,0,0,0,0
flink,1,0,0,0,0,0,0,1
flyway,1,1,1,0,0,0,0,0
frontend-maven-plugin,1,1,0,0,0,0,0,0
gephi,1,1,0,0,0,0,0,0
graylog2-server,1,1,0,0,0,0,0,0
gs-collections,1,0,0,0,0,0,0,1
hadoop,1,1,0,0,0,0,0,0
hazelcast,1,3,0,0,0,0,0,0
hbase,1,0,0,0,0,0,0,1
helios,1,0,0,0,0,0,0,3
hive,1,1,0,0,0,0,0,0
http-request,1,1,0,0,0,0,0,0
ignition,1,1,0,0,0,0,0,0
immutables,1,1,0,0,0,0,0,0
jOOQ,1,1,0,0,0,0,0,0
java-apns,1,1,0,0,0,0,0,0
java-string-similarity,1,1,0,0,0,0,0,0
javacv,1,1,0,0,0,0,0,0
javapoet,1,1,0,0,0,0,0,0
javaslang,1,1,0,0,0,0,0,0
jeromq,1,1,0,0,0,0,0,0
jfinal,1,1,0,0,0,0,0,0
jimfs,1,1,0,0,0,0,0,0
jjwt,1,1,0,0,0,0,0,0
jmxtrans,1,1,0,0,0,0,0,0
joda-time,1,1,0,0,0,0,0,0
jsonschema2pojo,1,1,0,0,0,0,0,0
jsoup,1,1,0,0,0,0,0,0
junit4,1,0,0,1,0,0,0,0
jvm-tools,1,1,0,0,0,0,0,0
killbill,1,1,0,0,0,0,0,0
kryonet,1,1,0,0,0,0,0,0
learning-spark,1,1,0,0,0,0,0,0
libstreaming,1,1,0,0,0,0,0,0
mahout,1,0,0,0,0,0,0,1
mapdb,1,0,0,0,1,0,0,0
