subject,builder_name,compiled,tests_pass,tests,skipped,elapsed_t,system_t,user_t
react-native,Gradle,False,False,0,0,0,0,0
elasticsearch,N/A,False,False,0,0,0,0,0
RxJava,Gradle,False,False,0,0,0,0,0
retrofit,Maven,True,True,389,2,18.01,1.28,50.49
okhttp,Maven,True,False,149,2,97.84,3.87,54.16
java-design-patterns,Maven,True,True,4268,3,134.93,9.68,293.06
Android-Universal-Image-Loader,Gradle,False,False,0,0,0,0,0
butterknife,Gradle,False,False,0,0,0,0,0
guava,Maven,True,True,812497,0,324.58,8.24,1017.42
iosched,Gradle,False,False,0,0,0,0,0
android-best-practices,N/A,False,False,0,0,0,0,0
EventBus,Gradle,False,False,0,0,0,0,0
MPAndroidChart,Gradle,False,False,0,0,0,0,0
picasso,Gradle,False,False,0,0,0,0,0
leakcanary,Gradle,False,False,0,0,0,0,0
glide,Gradle,False,False,0,0,0,0,0
fresco,Gradle,False,False,0,0,0,0,0
zxing,Maven,False,False,0,0,0,0,0
spring-framework,Gradle,False,False,0,0,0,0,0
SlidingMenu,Maven,False,False,0,0,0,0,0
libgdx,Maven,True,False,30,0,4.91,0.44,15.7
android-async-http,Gradle,False,False,0,0,0,0,0
RxAndroid,Gradle,False,False,0,0,0,0,0
storm,N/A,False,False,0,0,0,0,0
androidannotations,N/A,False,False,0,0,0,0,0
ViewPagerIndicator,Maven,False,False,0,0,0,0,0
netty,Maven,False,False,0,0,0,0,0
PhotoView,Gradle,False,False,0,0,0,0,0
spring-boot,Maven,True,False,211,0,15.53,1.3,53.16
material-dialogs,Gradle,False,False,0,0,0,0,0
Android-PullToRefresh,Maven,False,False,0,0,0,0,0
MaterialDesignLibrary,N/A,False,False,0,0,0,0,0
ActionBarSherlock,Maven,False,False,0,0,0,0,0
HomeMirror,Gradle,False,False,0,0,0,0,0
Hystrix,Gradle,False,False,0,0,0,0,0
Material-Animations,N/A,False,False,0,0,0,0,0
plaid,Gradle,False,False,0,0,0,0,0
weex,N/A,False,False,0,0,0,0,0
AndroidSwipeLayout,Gradle,False,False,0,0,0,0,0
fastjson,Maven,True,True,3512,0,19.94,1.6,47.05
Android-ObservableScrollView,Gradle,False,False,0,0,0,0,0
Android-CleanArchitecture,Gradle,False,False,0,0,0,0,0
android-UniversalMusicPlayer,Gradle,False,False,0,0,0,0,0
android-Ultra-Pull-To-Refresh,Maven,False,False,0,0,0,0,0
realm-java,Gradle,False,False,0,0,0,0,0
MaterialDrawer,Gradle,False,False,0,0,0,0,0
kotlin,Ant,False,False,0,0,0,0,0
stetho,Gradle,False,False,0,0,0,0,0
dubbo,Maven,True,False,1315,103,80.7,2.71,59.83
java8-tutorial,N/A,False,False,0,0,0,0,0
AndroidViewAnimations,Gradle,False,False,0,0,0,0,0
cheesesquare,Gradle,False,False,0,0,0,0,0
agera,Gradle,False,False,0,0,0,0,0
FizzBuzzEnterpriseEdition,Maven,True,False,0,0,2.36,0.22,8.04
greenDAO,Gradle,False,False,0,0,0,0,0
clojure,Maven,True,True,0,0,67.25,7.63,318.75
physical-web,N/A,False,False,0,0,0,0,0
dagger,Maven,False,False,0,0,0,0,0
PagerSlidingTabStrip,Gradle,False,False,0,0,0,0,0
Android-Bootstrap,Gradle,False,False,0,0,0,0,0
AndroidSlidingUpPanel,Gradle,False,False,0,0,0,0,0
junit4,Maven,True,True,967,4,10.9,0.96,32.12
ListViewAnimations,Maven,False,False,0,0,0,0,0
vert.x,Maven,True,False,0,0,224.42,13.35,157.22
MaterialViewPager,Gradle,False,False,0,0,0,0,0
presto,Maven,True,True,7594,0,2832.09,285.94,11603.52
platform_frameworks_base,N/A,False,False,0,0,0,0,0
AppIntro,Gradle,False,False,0,0,0,0,0
CircleImageView,Gradle,False,False,0,0,0,0,0
flexbox-layout,Gradle,False,False,0,0,0,0,0
dropwizard,Maven,True,True,1225,4,95.37,6.99,244.38
spark,Maven,True,True,291,0,19.21,1.38,44.45
bazel,N/A,False,False,0,0,0,0,0
Calligraphy,Gradle,False,False,0,0,0,0,0
disruptor,Gradle,False,False,0,0,0,0,0
ion,N/A,False,False,0,0,0,0,0
AndroidUtilCode,N/A,False,False,0,0,0,0,0
logger,Gradle,False,False,0,0,0,0,0
SimianArmy,Gradle,False,False,0,0,0,0,0
ExoPlayer,Gradle,False,False,0,0,0,0,0
recyclerview-animators,Gradle,False,False,0,0,0,0,0
xUtils,N/A,False,False,0,0,0,0,0
BottomBar,Gradle,False,False,0,0,0,0,0
tinker,Gradle,False,False,0,0,0,0,0
cardslib,Gradle,False,False,0,0,0,0,0
otto,Maven,True,True,52,1,3.53,0.2,12.52
zipkin,Maven,True,True,808,334,146.57,4.63,118.75
druid,Maven,True,True,3873,0,57.01,3.22,108.2
Android_Data,N/A,False,False,0,0,0,0,0
j2objc,N/A,False,False,0,0,0,0,0
AndroidStaggeredGrid,Gradle,False,False,0,0,0,0,0
metrics,Maven,True,True,427,0,17.18,1.24,42.12
UltimateRecyclerView,N/A,False,False,0,0,0,0,0
StickyListHeaders,Gradle,False,False,0,0,0,0,0
twoway-view,Gradle,False,False,0,0,0,0,0
deeplearning4j,Maven,False,False,0,0,0,0,0
jedis,Maven,True,False,0,0,3.08,0.41,10.64
