mode,name,elapsed_time,r_time,r_skipped,r_tests,r_failures,t_user,t_sys,t_wall
Standard,spring-boot,13.135,2.5669999999999993,0,228,0,53.87,1.16,14.04
Standard,dubbo,92,78.789,103,1425,0,70.18,3.22,93.08
Standard,vert.x,338,325.98399999999987,3,2742,0,182.3,15.45,339.29
Standard,presto,665,27.107000000000014,0,61,0,3070.18,79.38,666.66
Standard,spark,18.112,3.1370000000000005,0,274,0,35.16,1.43,18.8
Standard,druid,54.379,42.55099999999982,0,3894,0,57.76,1.9,55.06
Standard,swagger-core,25.184,1.6560000000000001,0,82,0,87.83,1.69,25.93
Standard,neo4j,2252,5634.3740000000425,44,38788,0,1227.1,60.94,2253.54
Standard,DiskLruCache,2.372,1.314999999999998,0,61,0,7.32,0.42,3.05
Standard,closure-compiler,85,36.138999999999946,0,11292,0,307.72,8.86,86.05
Standard,spring-mvc-showcase,16.610,13.866999999999999,0,81,0,14.67,0.35,17.29
Standard,nanohttpd,42.894,12.917,0,239,0,101.37,2.82,43.6
Standard,pysonar2,4.049,3.198,0,1,0,6.36,0.3,4.72
Standard,mapdb,581,401.44999999999965,7,3714,0,520.31,24.07,581.88
Standard,hazelcast,10440,19322.349000000002,217,15802,0,46232.5,17142.39,10460.55
Standard,flink,502,988.8789999999985,10,6711,0,1437.4,74.13,503.48
Standard,Bukkit,2.186,0.8450000000000001,3,906,0,5.85,0.23,2.86
Standard,wildfly,203,143.96300000000008,37,922,0,472.43,14.05,205.23
Standard,spring-security-oauth,12.640,6.947000000000001,0,716,0,41.7,0.94,13.26
Standard,aws-sdk-java,267,241.82600000000008,0,1045,0,993.66,3.77,268.44
Standard,helios,121,453.213,3,461,0,195.03,37.43,121.92
Standard,javaee7-samples,5.659,0.897,0,1,0,17.08,0.71,6.45
Standard,GCViewer,13.046,9.787999999999998,3,330,0,24.62,0.64,13.74
Standard,stream-lib,92,89.913,9,147,0,113.91,2.29,92.92
Standard,YCSB,278,183.65099999999995,6,112,0,287.49,21.54,279.75
Standard,torodb,39.400,20.324,8,377,0,128.28,2.81,40.21
Standard,javaslang,76,193.632,5,13145,0,251.45,3.38,77.64
Standard,pinot,3960,1388.3600000000004,0,601,0,3400.28,102.42,4015.7
Standard,Gaffer,6.009,0.31300000000000006,0,73,0,26.52,0.59,6.79
Standard,mysql_perf_analyzer,1.304,0.001,0,1,0,5.76,0.19,1.99
Standard,spring-boot-admin,78,35.610000000000014,0,158,0,117.26,2.67,79.36
Standard,jeromq,32.008,28.622999999999998,0,88,0,17.96,0.6,32.75
Standard,ambrose,4.328,1.573,0,18,0,15.38,0.42,5.06
Standard,jetty.project,1534,1285.190999999999,185,5721,0,755.88,110.63,1535.96
Standard,mustache.java,430,228.348,0,202,0,721.24,19.83,431.06
Standard,languagetool,230,189.72700000000003,21,798,0,536.44,9.43,231.54
Standard,mahout,1128,997.6809999999995,1,3374,0,2057.96,97.88,1129.45
Standard,jitwatch,18.573,17.528999999999993,0,240,0,48.9,2.21,19.27
Standard,JCTools,228,224.587,76,746,0,421.09,61.4,229.56
Standard,apollo,27.246,18.567999999999998,0,473,0,43.42,1.53,27.98
Standard,BroadleafCommerce,16.767,3.6829999999999985,0,229,0,65.58,1.89,17.61
Standard,guacamole-client,8.044,0.005,0,6,0,37.06,0.92,8.77
Standard,keycloak,16.295,3.3099999999999987,5,105,0,70.98,2.3,17.77
Standard,vaadin,55.066,9.373999999999993,3,1447,0,184.23,3.06,55.86
Standard,javaparser,7.174,0.7250000000000004,0,848,0,27.64,0.69,7.9
Standard,qart4j,0.738,0.002,0,1,0,4.57,0.17,1.43
Standard,seyren,4.755,2.9159999999999995,0,106,0,11.16,0.38,5.47
