name,files,L0,L1,L2,L3,FL0,FL1,Unknown
dubbo,59,58,0,0,0,1,0,0
vert.x,1,0,0,0,0,1,0,0
presto,45,30,0,0,0,0,0,0
spark,1,0,0,0,0,1,0,0
druid,1,0,0,0,0,0,0,0
swagger-core,10,10,0,0,0,0,0,0
DiskLruCache,1,1,0,0,0,0,0,0
closure-compiler,2,2,0,0,0,1,0,0
nanohttpd,14,13,0,0,0,1,0,0
pysonar2,1,1,0,0,0,0,0,0
hazelcast,6,8,0,0,0,0,0,0
flink,83,70,0,0,0,7,0,0
Bukkit,1,1,0,0,0,0,0,0
wildfly,134,128,0,0,0,0,0,0
spring-security-oauth,35,31,0,0,0,0,0,0
aws-sdk-java,83,82,0,0,0,0,0,0
helios,10,9,0,0,0,3,0,0
javaee7-samples,260,253,0,0,0,0,0,0
GCViewer,1,1,0,0,0,0,0,0
stream-lib,1,1,0,0,0,0,0,0
YCSB,39,38,0,0,0,0,0,0
torodb,32,33,0,0,0,0,0,0
javaslang,5,3,0,0,1,0,0,0
Gaffer,24,23,0,0,0,1,1,0
mysql_perf_analyzer,23,23,0,0,0,0,0,0
spring-boot-admin,15,15,0,0,0,0,0,0
jeromq,1,1,0,0,0,0,0,0
ambrose,8,8,0,0,0,0,0,0
jetty.project,141,123,0,0,0,5,0,0
mustache.java,10,9,0,0,0,0,0,0
languagetool,112,111,0,0,0,0,0,0
mahout,13,7,0,0,0,1,0,0
jitwatch,3,3,0,0,0,0,0,0
JCTools,4,4,0,0,0,0,0,0
apollo,19,16,0,0,0,0,0,0
BroadleafCommerce,13,12,0,0,0,0,0,0
guacamole-client,22,18,0,0,0,4,0,0
keycloak,305,290,0,0,0,3,0,0
vaadin,29,27,0,0,0,0,0,0
javaparser,3,3,0,0,0,0,0,0
qart4j,1,1,0,0,0,0,0,0
seyren,8,6,0,0,0,0,0,0
secor,1,1,0,0,0,0,0,0
speedment,52,51,0,0,0,0,0,0
pac4j,15,14,0,0,0,0,0,0
couchdb-lucene,1,1,0,0,0,0,0,0
hector,4,0,0,0,0,4,0,0
ysoserial,1,0,0,0,0,0,0,0
symphony,1,0,0,0,0,0,0,0
XChange,58,58,0,0,0,0,0,0
hbc,4,3,0,0,0,0,0,0
atomix,17,12,0,0,0,0,0,0
spring-cloud-netflix,26,25,0,0,0,0,0,0
SikuliX-2014,16,15,0,0,0,0,0,0
google-java-format,2,1,0,0,0,0,0,0
tomighty,3,3,0,0,0,0,0,0
dynjs,1,1,0,0,0,0,0,0
jline2,1,0,0,0,0,1,0,0
docker-java,1,0,0,0,0,0,0,0
optaplanner,14,12,0,0,0,1,0,0
JSqlParser,1,1,0,0,0,0,0,0
QRGen,4,4,0,0,0,0,0,0
HotswapAgent,27,26,0,0,0,0,0,0
jbot,3,3,0,0,0,0,0,0
jade4j,1,1,0,0,0,0,0,0
J2V8,1,0,0,0,0,1,0,0
apis,11,11,0,0,0,0,0,0
t-digest,1,0,0,0,0,0,0,0
jbake,1,1,0,0,0,0,0,0
light-admin,4,4,0,0,0,0,0,0
REST-With-Spring,6,7,0,0,0,0,0,0
FakeSMTP,1,1,0,0,0,0,0,0
docker-client,1,1,0,0,0,0,0,0
protostuff,19,17,0,0,0,2,0,0
moquette,5,3,0,0,0,0,0,0
