SUBJECT,URL,REV,BUILDER,COMPILED
500px-android-blur,https://github.com/500px/500px-android-blur,c8bc82cea7858534523a2d73e839726c1f85fe18,Gradle,false
99-problems,https://github.com/shekhargulati/99-problems,ed027c5f7f5ff87e2653e5b33227f79cd9a34bf6,unknown,n/a
9GAG,https://github.com/stormzhang/9GAG,90bedc9fcc74d9e9744760c1266211635654fe1a,Gradle,false
ASimpleCache,https://github.com/yangfuhai/ASimpleCache,7935b04751aa57299cfb8b89e5b1e12a2d96e7cb,unknown,n/a
AVLoadingIndicatorView,https://github.com/81813780/AVLoadingIndicatorView,f9d2db0df3917029c98740a422f886986f05074f,Gradle,false
AboutLibraries,https://github.com/mikepenz/AboutLibraries,9952172e521fc9ea25dbba4057945bead19d6ee7,Gradle,false
ActionBar-PullToRefresh,https://github.com/chrisbanes/ActionBar-PullToRefresh,f347ef96c2643fecee7cbf671db05c0487666dff,Gradle,false
ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,2c71339e756bcc0b1424c4525680549ba3a2dc97,Maven,false
ActiveAndroid,https://github.com/pardom/ActiveAndroid,08c6335cd7324c6e72da536b0c6fffa5a798f6a2,Maven,false
Activiti,https://github.com/Activiti/Activiti,393247f317d5c72dec4b05fec0ea4a700b027f90,Maven,true
ActivityRouter,https://github.com/mzule/ActivityRouter,4614069beb8fa8b53e14328fdb59f9657dac5dae,Gradle,false
AdapterDelegates,https://github.com/sockeqwe/AdapterDelegates,702752ce9212dc9be07318bdd7522565a8945b50,Gradle,false
Aeron,https://github.com/real-logic/Aeron,2b833736a88d54177b6580a857d67ca840e9fff1,Gradle,false
AirMapView,https://github.com/airbnb/AirMapView,fb194a08824ad09be18481af771c53bceb485038,Gradle,false
AisenWeiBo,https://github.com/wangdan/AisenWeiBo,a1c583d2da056dec88992f3994b9706d4bb62921,Gradle,false
Algorithms,https://github.com/pedrovgs/Algorithms,e121b3943958ba1558d8828db6f13c632e99f298,Maven,true
AndEngine,https://github.com/nicolasgramlich/AndEngine,720897f99d2c56ba357e8fe361454bd8d88c37ed,Ant,false
AndResGuard,https://github.com/shwenzhang/AndResGuard,bb2972795edb366eec86f8d527bdc6fb0ff7592b,Gradle,false
