numcores, time, run
01,7.40, 2
01,7.40, 3
01,7.42, 1
01,7.44, 1
01,7.45, 4
01,7.45, 5
03,3.20, 3
03,3.21, 1
03,3.21, 2
03,3.21, 4
03,3.23, 5
03,3.24, 1
05,2.23, 2
05,2.24, 1
05,2.26, 4
05,2.26, 5
05,2.27, 1
05,2.27, 3
07,2.11, 2
07,2.8, 1
07,2.8, 3
07,2.9, 1
09,2.3, 1
09,2.4, 1
09,2.6, 2
09,2.9, 3
11,2.2, 1
11,2.2, 2
11,2.3, 1
11,2.3, 3
13,1.59, 1
13,1.59, 3
13,2.2, 1
13,2.5, 2
15,1.58, 1
15,2.0, 2
15,2.1, 3
15,2.3, 1
17,1.57, 1
17,1.59, 3
17,2.1, 1
17,2.3, 2
19,2.0, 3
19,2.2, 1
19,2.3, 1
19,2.4, 2
21,2.1, 2
21,2.1, 3
21,2.2, 1
21,2.4, 1
23,1.59, 1
23,1.59, 3
23,2.0, 2
25,1.58, 3
25,2.0, 1
25,2.0, 2
27,1.59, 3
27,2.0, 2
27,2.1, 1
29,2.1, 1
29,2.2, 3
29,2.4, 2
31,2.1, 3
31,2.2, 2
31,2.5, 1
33,2.1, 2
33,2.2, 3
33,2.4, 1
35,2.3, 1
35,2.4, 2
35,2.7, 3
37,1.59, 2
37,2.0, 3
37,2.2, 1
39,2.1, 1
39,2.2, 2
39,2.8, 3
