org.eclipse.jgit.util.io.TimeoutInputStreamTest.testTimeout_readBuffer_Timeout ['F', 'F', 'P', 'F', 'F', 'P', 'F', 'P', 'P', 'P']
org.eclipse.jgit.util.GitDateParserTest.local ['P', 'P', 'P', 'F', 'P', 'P', 'P', 'P', 'P', 'P']
org.eclipse.jgit.api.AddCommandTest.testAddWholeRepo ['P', 'P', 'P', 'P', 'P', 'P', 'P', 'F', 'P', 'P']
org.eclipse.jgit.revplot.PlotCommitListTest.testMergeBlockedByOther ['P', 'P', 'P', 'P', 'F', 'P', 'P', 'P', 'P', 'P']
org.eclipse.jgit.api.CommitCommandTest.commitSubmoduleUpdate ['P', 'F', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']
org.eclipse.jgit.api.InitCommandTest.testInitWithOnlyExplicitGitDir ['F', 'P', 'F', 'F', 'P', 'F', 'P', 'F', 'F', 'P']
org.eclipse.jgit.api.MergeCommandTest.testSuccessfulContentMerge ['P', 'F', 'P', 'P', 'P', 'F', 'P', 'P', 'P', 'P']
org.eclipse.jgit.api.AddCommandTest.testAddRemovedCommittedFile ['P', 'P', 'P', 'P', 'P', 'P', 'P', 'F', 'P', 'P']
org.eclipse.jgit.api.DescribeCommandTest.t1nearerT2[0] ['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']
org.eclipse.jgit.internal.storage.file.WindowCacheGetTest.testCache_TooSmallLimit ['P', 'P', 'P', 'P', 'P', 'P', 'P', 'F', 'P', 'P']
org.eclipse.jgit.lib.ValidRefNameTest.testValidSpecialCharacterUnixs ['P', 'F', 'P', 'P', 'F', 'F', 'F', 'P', 'P', 'P']
org.eclipse.jgit.transport.TestProtocolTest.testFetch ['P', 'F', 'P', 'P', 'P', 'F', 'P', 'P', 'F', 'P']
org.eclipse.jgit.lib.DirCacheCheckoutMaliciousPathTest.testForbiddenNamesOnWindowsEgLpt1DotSuffix ['F', 'P', 'F', 'P', 'F', 'F', 'P', 'P', 'F', 'F']
org.eclipse.jgit.api.MergeCommandTest.testSuccessfulMergeFailsDueToDirtyIndex ['P', 'F', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']
