"name","compiled","tested","tests","suites","failures","runs","mvn_time_avg","mvn_time_sd","xml_time_avg","xml_time_sd"
"4pr0n_ripme","SUCCESS","FAILURE",54,9,13,3,136,25.5147016443461,134.985,25.533784932908
"4thline_cling","FAILURE","FAILURE",340,1,0,3,60.9303333333333,2.10536465566736,53.407,0.314863462472227
"a2888409_face2face","SUCCESS","SUCCESS",0,0,0,3,0.866333333333333,0.0380043857118272,0,0
"aaberg_sql2o","FAILURE","FAILURE",172,23,6,3,10.046,0.202338824747007,6.71066666666667,0.224342000823149
"abc9070410_JComicDownloader","SUCCESS","SUCCESS",8,3,0,3,15.374,1.74002155159067,14.2276666666667,1.73950002395324
"abel533_MyBatis-Spring-Boot","SUCCESS","FAILURE",3,1,3,3,386,0,0.052,0.00346410161513775
"acesinc_json-data-generator","SUCCESS","SUCCESS",4,1,0,3,2.053,0.028687976575562,0.252666666666667,0.00513160143944689
"Aconex_scrutineer","SUCCESS","SUCCESS",113,22,0,3,10.863,0.0323573793747271,3.47333333333333,0.152919368731804
"ActiveJpa_activejpa","SUCCESS","SUCCESS",128,2,0,3,11.212,0.0595063021872472,3.07733333333333,0.0333066559914581
"Activiti_Activiti","SUCCESS","SUCCESS",2029,375,0,3,352.666666666667,3.05505046330389,332.311,1.30685844681071
"AdamBien_afterburner.fx","SUCCESS","FAILURE",46,8,1,3,3.35333333333333,0.0365011415346607,0.797,0.0147309198626562
"AdamBien_javaee7-essentials-archetype","SUCCESS","SUCCESS",0,0,0,3,0.615333333333333,0.0321299444962691,0,0
"addthis_hydra","SUCCESS","SUCCESS",551,165,0,3,93.3333333333333,0.577350269189626,78.815,0.510036273219918
"addthis_stream-lib","SUCCESS","SUCCESS",149,24,0,3,128.333333333333,3.21455025366432,126.455,3.17282161490369
"Adobe-Consulting-Services_acs-aem-commons","SUCCESS","SUCCESS",634,107,0,3,18.8433333333333,0.147805051785563,13.4366666666667,0.0988753423930028
"Adobe-Marketing-Cloud_aem-project-archetype","SUCCESS","SUCCESS",0,0,0,3,0.464333333333333,0.0231156512634477,0,0
"AdoptOpenJDK_jitwatch","SUCCESS","SUCCESS",249,29,0,3,34.846,0.130414723095208,33.1323333333333,0.0859903095315641
"aerogear_aerogear-unifiedpush-server","SUCCESS","SUCCESS",243,44,0,3,135.333333333333,0.577350269189626,97.009,0.415736695517728
"aggregateknowledge_java-hll","SUCCESS","SUCCESS",35,1,0,3,11.844,0.127106254763485,10.3853333333333,0.129307127929335
"agoncal_agoncal-application-petstore-ee7","SUCCESS","FAILURE",28,28,19,3,3.52166666666667,0.0928026580079114,1.049,0.0202237484161565
"agoncal_agoncal-book-javaee7","FAILURE","FAILURE",125,48,0,3,13.8073333333333,0.170986354231364,1.133,0.0245560583156171
"ajanata_PretendYoureXyzzy","FAILURE","FAILURE",0,0,0,3,0.497,0.0183303027798234,0,0
"ajermakovics_eclipse-instasearch","SUCCESS","SUCCESS",0,0,0,3,18.733,0.994537078242939,0,0
"Akdeniz_google-play-crawler","FAILURE","FAILURE",0,0,0,3,0.122,0.00916515138991168,0,0
"algorithmfoundry_Foundry","SUCCESS","?",0,0,0,2,0,0,0,0
"algorithmfoundry_Foundry","SUCCESS","FAILURE",0,0,0,1,58.157,NA,0,NA
"alibaba_druid","SUCCESS","SUCCESS",3958,1980,0,3,72.3333333333333,0.577350269189626,42.3790000000002,0.330192368173433
"alibaba_dubbo","SUCCESS","FAILURE",1174,101,2,1,64,NA,57.144,NA
"alibaba_dubbo","SUCCESS","FAILURE",1191,107,2,1,67,NA,58.42,NA
"alibaba_dubbo","SUCCESS","FAILURE",1298,126,2,1,89,NA,83.721,NA
"alibaba_tamper","SUCCESS","SUCCESS",62,16,0,3,1.95833333333333,0.0225462487641144,0.662333333333333,0.0297377425729213
"alibaba_yugong","SUCCESS","SUCCESS",0,0,0,3,2.85133333333333,0.0580114931141523,0,0
"aliyun_aliyun-oss-java-sdk","SUCCESS","FAILURE",94,62,40,3,11.383,0.0978621479429096,10.1586666666667,0.0481802172404122
"allegro_grunt-maven-plugin","SUCCESS","SUCCESS",9,1,0,3,3.481,0.0575586657246325,0.149666666666667,0.00152752523165195
"allwefantasy_ServiceFramework","FAILURE","FAILURE",0,0,0,3,0.465666666666667,0.0263881286440197,0,0
"AmadeusITGroup_sonar-stash","SUCCESS","FAILURE",185,22,15,3,40.7303333333333,0.145001149420731,38.4996666666667,0.148581066537207
"amaembo_huntbugs","SUCCESS","SUCCESS",15,11,0,3,14.7826666666667,0.286098467897564,9.20466666666667,0.198860084816772
"amelentev_java-oo","FAILURE","FAILURE",0,0,0,3,1.55766666666667,0.0858448212377038,0,0
"amplab_succinct","SUCCESS","SUCCESS",203,55,0,3,96,1,43.8316666666667,0.649600133415418
"amzn_ion-java","SUCCESS","FAILURE",1887,106,1455,3,5.80133333333333,0.0454899256246187,0.685333333333334,0.0404639757479828
"amznlabs_ion-java","SUCCESS","FAILURE",1869,105,1422,3,5.83566666666667,0.127142964151908,0.701333333333334,0.0117189305541646
