project,time
Activiti_Activiti,0.025
Activiti_Activiti,0.028
Activiti_Activiti,0.307
Activiti_Activiti,0.013
Activiti_Activiti,0.002
Activiti_Activiti,0.01
Activiti_Activiti,0.002
Activiti_Activiti,1.444
Activiti_Activiti,0.061
Activiti_Activiti,0.215
Activiti_Activiti,0.563
Activiti_Activiti,0.001
Activiti_Activiti,0.029
Activiti_Activiti,0.028
Activiti_Activiti,0.141
Activiti_Activiti,0.001
Activiti_Activiti,0.001
Activiti_Activiti,0.009
Activiti_Activiti,0.01
Activiti_Activiti,0.011
Activiti_Activiti,0.011
Activiti_Activiti,0.015
Activiti_Activiti,0.005
Activiti_Activiti,0.042
Activiti_Activiti,0.005
Activiti_Activiti,0.035
Activiti_Activiti,0.005
Activiti_Activiti,0.009
Activiti_Activiti,0.004
Activiti_Activiti,0.005
Activiti_Activiti,0.029
Activiti_Activiti,0.009
Activiti_Activiti,0.009
Activiti_Activiti,0.01
Activiti_Activiti,0.085
Activiti_Activiti,0.008
Activiti_Activiti,0.034
Activiti_Activiti,0.005
Activiti_Activiti,0.01
Activiti_Activiti,0.011
Activiti_Activiti,0.031
Activiti_Activiti,0.005
Activiti_Activiti,0.196
Activiti_Activiti,0.007
Activiti_Activiti,0.005
Activiti_Activiti,0.009
Activiti_Activiti,0.011
Activiti_Activiti,0.005
Activiti_Activiti,0.005
Activiti_Activiti,0.03
Activiti_Activiti,0.013
Activiti_Activiti,0.033
Activiti_Activiti,0.01
Activiti_Activiti,0.035
Activiti_Activiti,0.009
Activiti_Activiti,0.004
Activiti_Activiti,0.029
Activiti_Activiti,0.004
Activiti_Activiti,0.005
Activiti_Activiti,0.009
Activiti_Activiti,0.033
Activiti_Activiti,0.004
Activiti_Activiti,0.009
Activiti_Activiti,0.032
Activiti_Activiti,0.004
Activiti_Activiti,0.012
Activiti_Activiti,0.005
Activiti_Activiti,0.01
Activiti_Activiti,0.033
Activiti_Activiti,0.028
Activiti_Activiti,0.004
Activiti_Activiti,0.009
Activiti_Activiti,0.005
Activiti_Activiti,0.004
Activiti_Activiti,0.008
Activiti_Activiti,0.028
Activiti_Activiti,0.009
Activiti_Activiti,0.005
Activiti_Activiti,0.008
Activiti_Activiti,0.029
Activiti_Activiti,0.01
Activiti_Activiti,0.005
Activiti_Activiti,0.004
Activiti_Activiti,0.005
