created_at,default_branch,fork,full_name,ismaven,pushed_at,rev,size,stargazers_count
2016-10-20T07:02:02Z,master,False,zanata/zanata-platform,True,2018-12-15T02:19:27Z,68c80db891bc816f737fbfd1c77b6f68fb295143,74776,179
2010-06-10T14:43:35Z,master,False,jenkinsci/gerrit-trigger-plugin,True,2018-12-01T16:03:10Z,5748ac9c5e6364b39c6e12dfcdacb11a40e33858,4534,163
2014-09-26T12:43:10Z,master,False,greenmail-mail-test/greenmail,True,2018-12-03T14:39:06Z,a651377e7c9c75b3cd9f777ca2867c3fbb8e7df6,3093,290
2015-10-26T20:17:17Z,develop,False,salesforce/Argus,True,2018-12-13T08:43:51Z,121b59a268da264316cded6a3e9271366a23cd86,8649,376
2011-11-09T08:00:09Z,master,False,apache/opennlp,True,2018-12-05T10:10:39Z,842fa3c88b1a1b9118be7e151bffadef2073651e,14506,702
2012-09-04T15:53:13Z,master,False,SonarSource/sonar-java,True,2018-12-05T21:46:12Z,3e073a150cc2b27649a911c33499c580df1e99a0,39732,430
2014-03-09T22:31:26Z,master,False,Erudika/para,True,2018-12-05T11:44:50Z,8f225f175fbdf9c4faba51016767834ccdb3edd9,3618,232
2011-05-05T11:52:05Z,master,False,perwendel/spark,True,2018-12-06T15:18:24Z,a16445f02240cb9c5a09c204664682e54e394437,2390,7932
2018-04-09T03:29:36Z,master,False,alipay/sofa-bolt,True,2018-12-06T01:45:23Z,210fe16490aa9541485edc9ac475ea32cf760908,735,829
2015-04-15T17:08:15Z,1.7,False,neo4j/neo4j-java-driver,True,2018-12-11T14:55:44Z,91b6cef5fdfad76d1a5a7d2a02c59b4d8e91e57d,6658,146
2011-10-12T14:07:27Z,master,False,zxing/zxing,True,2018-12-07T13:04:51Z,3a6891d268c4a23ebe37a51720917f1cfb606dad,239614,20973
2013-07-06T11:39:57Z,master,False,jan-molak/jenkins-build-monitor-plugin,True,2018-12-07T21:48:56Z,c9395c93262c59aacc45b00d24874a8b1c911612,18696,612
2010-01-22T15:12:52Z,master,False,awaitility/awaitility,True,2018-12-08T18:17:03Z,548bcc27326a2a91ffb30c2b192b2e285009f982,1039,1402
2012-06-20T12:41:19Z,develop,False,Sable/soot,True,2018-12-08T00:59:48Z,0b8bdcb611f7ca0c0ef778df391211e5b03e2edf,210283,1043
2009-05-21T01:38:37Z,master,False,apache/commons-io,True,2018-12-08T22:58:00Z,4daab02fb7d967a39eb15fe33f0d5350fc548a98,5443,526
2009-08-20T18:48:24Z,master,False,qos-ch/logback,True,2018-12-09T01:48:53Z,4dd08e68321548cd85251ec389f5a832505e1268,26303,1452
2009-08-20T16:25:49Z,master,False,qos-ch/slf4j,True,2018-12-09T17:31:47Z,5e93462dd781677fb75aefc6cc7df65822970ca0,10210,1134
