name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
apache_archiva,1217161913,SUCCESS,FAILURE,1351,1046.9050000000004,1180,146,0
SonarSource_sonar-java,1217161913,SUCCESS,SUCCESS,92,72.9940000000002,2711,785,0
alibaba_DataX,1217161913,FAILURE,FAILURE,367,273.071,3,2,3
apache_camel,1217161913,SUCCESS,?,0,4644.012000000006,13028,5653,171
apache_avro,1217161913,SUCCESS,SUCCESS,592,175.20300000000012,3763,180,0
apache_activemq-artemis,1217161913,SUCCESS,SUCCESS,299,117.716,1015,144,0
OpenNMS_opennms,1217161913,FAILURE,FAILURE,2449,1338.6759999999997,4022,829,5
OpenSmpp_opensmpp,1217161913,SUCCESS,SUCCESS,54.491,33.296,151,10,0
Evolveum_midpoint,1217161913,SUCCESS,?,0,0.174,0,1,0
RoaringBitmap_RoaringBitmap,1217161913,SUCCESS,SUCCESS,700,624.8230000000005,4839,79,0
Erudika_scoold,1217161913,SUCCESS,SUCCESS,3.632,0,0,0,0
apache_bookkeeper,1217161913,SUCCESS,FAILURE,5040,3076.9120000000003,1643,235,0
RIPE-NCC_whois,1217161913,SUCCESS,FAILURE,18.73,6.377000000000002,1023,116,54
JanusGraph_janusgraph,1217161913,SUCCESS,?,0,5190.5679999999975,1415,99,0
apache_drill,1217161913,SUCCESS,FAILURE,2067,2343.9810000000007,3453,396,2
Erudika_para,1217161913,SUCCESS,SUCCESS,74,18.639000000000003,252,27,0
apache_accumulo,1217161913,SUCCESS,?,0,197.7080000000001,1143,216,0
apache_ambari,1217161913,FAILURE,FAILURE,92,17.730999999999998,27,9,0
CorfuDB_CorfuDB,1217161913,SUCCESS,SUCCESS,297,812.21,558,78,0
apache_atlas,1217161913,FAILURE,FAILURE,284,241.17000000000004,233,54,0
apache_asterixdb,1217161913,SUCCESS,?,0,4190.198,10341,302,0
apache_commons-io,1217161913,FAILURE,FAILURE,5.241,0,0,0,0
GoogleCloudPlatform_bigdata-interop,1217161913,FAILURE,FAILURE,26.22,24.613000000000003,436,23,1
alibaba_nacos,1217161913,SUCCESS,SUCCESS,44.519,5.627,18,11,0
Spirals-Team_repairnator,1217161913,FAILURE,FAILURE,0.08,0,0,0,0
apache_flume,1217161913,SUCCESS,?,0,0,0,0,0
GoogleCloudPlatform_java-docs-samples,1217161913,SUCCESS,FAILURE,278,43.54699999999999,205,67,21
apache_activemq,1217161913,FAILURE,FAILURE,4500,4429.334000000001,2185,192,10
NanoHttpd_nanohttpd,1217161913,SUCCESS,SUCCESS,73,19.747000000000007,239,34,0
Sable_soot,1217161913,SUCCESS,SUCCESS,109,41.623999999999995,222,56,0
PhoenicisOrg_phoenicis,1217161913,SUCCESS,FAILURE,34.197,20.438,130,27,1
EvoSuite_evosuite,1217161913,SUCCESS,FAILURE,44.559,22.870000000000008,124,36,1
Graylog2_graylog2-server,1217161913,SUCCESS,FAILURE,140,51.21500000000005,2389,327,3
GoogleCloudPlatform_cloud-bigtable-client,1217161913,SUCCESS,FAILURE,63,10.213,529,90,0
BaseXdb_basex,1217161913,SUCCESS,SUCCESS,273,165.14000000000001,2072,198,0
Alluxio_alluxio,1217161913,SUCCESS,?,0,633.8350000000002,1952,307,0
apache_flink,1217161913,SUCCESS,FAILURE,146,45.77200000000002,2361,260,2
HotelsDotCom_styx,1217161913,SUCCESS,SUCCESS,305,479.5059999999999,258,80,0
alipay_sofa-bolt,1217161913,SUCCESS,FAILURE,228,182.76799999999997,263,59,5
OpenHFT_Chronicle-Queue,1217161913,SUCCESS,SUCCESS,191,139.99799999999993,423,84,0
OpenHFT_Java-Lang,1217161913,SUCCESS,SUCCESS,50.016,31.702000000000005,605,44,0
