numcores, time, run
39,2.2, 2
19,2.0, 3
15,2.0, 2
25,2.0, 2
27,2.0, 2
31,2.1, 3
13,2.5, 2
21,2.1, 3
3,3.20, 3
23,1.59, 3
39,2.8, 3
29,2.2, 3
17,1.59, 3
5,2.23, 2
5,2.27, 3
13,1.59, 3
7,2.11, 2
9,2.9, 3
7,2.8, 3
37,2.0, 3
25,1.58, 3
11,2.2, 2
33,2.1, 2
9,2.6, 2
3,3.21, 2
33,2.2, 3
17,2.3, 2
19,2.4, 2
35,2.4, 2
23,2.0, 2
11,2.3, 3
31,2.2, 2
35,2.7, 3
29,2.4, 2
15,2.1, 3
1,7.40, 2
37,1.59, 2
1,7.40, 3
21,2.1, 2
27,1.59, 3
39,2.1, 1
19,2.3, 1
15,2.3, 1
25,2.0, 1
27,2.1, 1
13,2.2, 1
21,2.4, 1
3,3.21, 1
17,2.1, 1
5,2.24, 1
5,2.27, 1
13,1.59, 1
7,2.9, 1
9,2.4, 1
7,2.8, 1
11,2.2, 1
33,2.4, 1
9,2.3, 1
3,3.24, 1
17,1.57, 1
19,2.2, 1
35,2.3, 1
23,1.59, 1
11,2.3, 1
31,2.5, 1
29,2.1, 1
15,1.58, 1
1,7.44, 1
37,2.2, 1
1,7.42, 1
21,2.2, 1
3,3.23, 5
5,2.26, 4
5,2.26, 5
3,3.21, 4
1,7.45, 4
1,7.45, 5
