name,compiled,tested,tests,suites,failures,runs,mvn_time_avg,mvn_time_sd,xml_time_avg,xml_time_sd,perc_failures,timecost_group
4pr0n_ripme,SUCCESS,FAILURE,54,9,13,3,136,25.5147016443461,134.985,25.533784932908,24.07,medium
4thline_cling,FAILURE,FAILURE,340,1,0,3,60.9303333333333,2.10536465566736,53.407,0.314863462472227,0.00,short
aaberg_sql2o,FAILURE,FAILURE,172,23,6,3,10.046,0.202338824747007,6.71066666666667,0.224342000823149,3.49,short
abc9070410_JComicDownloader,SUCCESS,SUCCESS,8,3,0,3,15.374,1.74002155159067,14.2276666666667,1.73950002395324,0.00,short
abel533_MyBatis-Spring-Boot,SUCCESS,FAILURE,3,1,3,3,386,0,0.052,0.00346410161513775,100.00,short
acesinc_json-data-generator,SUCCESS,SUCCESS,4,1,0,3,2.053,0.028687976575562,0.252666666666667,0.00513160143944689,0.00,short
Aconex_scrutineer,SUCCESS,SUCCESS,113,22,0,3,10.863,0.0323573793747271,3.47333333333333,0.152919368731804,0.00,short
ActiveJpa_activejpa,SUCCESS,SUCCESS,128,2,0,3,11.212,0.0595063021872472,3.07733333333333,0.0333066559914581,0.00,short
Activiti_Activiti,SUCCESS,SUCCESS,2029,375,0,3,352.666666666667,3.05505046330389,332.311,1.30685844681071,0.00,long
AdamBien_afterburner.fx,SUCCESS,FAILURE,46,8,1,3,3.35333333333333,0.0365011415346607,0.797,0.0147309198626562,2.17,short
addthis_hydra,SUCCESS,SUCCESS,551,165,0,3,93.3333333333333,0.577350269189626,78.815,0.510036273219918,0.00,medium
addthis_stream-lib,SUCCESS,SUCCESS,149,24,0,3,128.333333333333,3.21455025366432,126.455,3.17282161490369,0.00,medium
Adobe-Consulting-Services_acs-aem-commons,SUCCESS,SUCCESS,634,107,0,3,18.8433333333333,0.147805051785563,13.4366666666667,0.0988753423930028,0.00,short
AdoptOpenJDK_jitwatch,SUCCESS,SUCCESS,249,29,0,3,34.846,0.130414723095208,33.1323333333333,0.0859903095315641,0.00,short
aerogear_aerogear-unifiedpush-server,SUCCESS,SUCCESS,243,44,0,3,135.333333333333,0.577350269189626,97.009,0.415736695517728,0.00,medium
aggregateknowledge_java-hll,SUCCESS,SUCCESS,35,1,0,3,11.844,0.127106254763485,10.3853333333333,0.129307127929335,0.00,short
agoncal_agoncal-application-petstore-ee7,SUCCESS,FAILURE,28,28,19,3,3.52166666666667,0.0928026580079114,1.049,0.0202237484161565,67.86,short
