project_path,test_success,maven_test_time,xml_test_time,overhead_time,is_sequential
/home/lhsm/regression-test-eval/subjects/rackerlabs_blueflood,true,51,39,12,true
/home/lhsm/regression-test-eval/subjects/vaadin_framework,false,138,35,103,true
/home/lhsm/regression-test-eval/subjects/thelinmichael_spotify-web-api-java,false,1,0,1,true
/home/lhsm/regression-test-eval/subjects/brianfrankcooper_YCSB,true,271,253,18,true
/home/lhsm/regression-test-eval/subjects/jenkinsci_gerrit-trigger-plugin,true,2193,10385,-8192,false
/home/lhsm/regression-test-eval/subjects/kolorobot_spring-mvc-quickstart-archetype,true,0,0,0,false
/home/lhsm/regression-test-eval/subjects/eugenp_REST-With-Spring,true,4,1,4,true
/home/lhsm/regression-test-eval/subjects/zeromq_jeromq,true,31,29,2,true
/home/lhsm/regression-test-eval/subjects/davidmoten_rxjava-jdbc,true,5,3,2,true
/home/lhsm/regression-test-eval/subjects/mongojack_mongojack,true,313,309,4,true
/home/lhsm/regression-test-eval/subjects/etsy_statsd-jvm-profiler,true,3,1,2,true
/home/lhsm/regression-test-eval/subjects/JakeWharton_DiskLruCache,true,2,1,1,true
/home/lhsm/regression-test-eval/subjects/tobiasflohre_movie-database,true,3,0,3,true
/home/lhsm/regression-test-eval/subjects/resteasy_Resteasy,false,2,0,2,true
/home/lhsm/regression-test-eval/subjects/klout_brickhouse,true,10,8,2,true
/home/lhsm/regression-test-eval/subjects/dibbhatt_kafka-spark-consumer,true,12,9,3,true
/home/lhsm/regression-test-eval/subjects/JakubDziworski_Enkel-JVM-language,true,5,1,3,true
/home/lhsm/regression-test-eval/subjects/greenmail-mail-test_greenmail,true,51,48,3,true
/home/lhsm/regression-test-eval/subjects/deathmarine_Luyten,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/google_closure-compiler,true,79,37,43,true
/home/lhsm/regression-test-eval/subjects/restx_restx,false,4,42,-38,false
/home/lhsm/regression-test-eval/subjects/dcaoyuan_nbscala,true,26,0,26,true
/home/lhsm/regression-test-eval/subjects/yahoo_mysql_perf_analyzer,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/apache_pdfbox,false,27,25,2,true
/home/lhsm/regression-test-eval/subjects/mauersu_redis-admin,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/Steveice10_MCProtocolLib,false,1,0,1,true
/home/lhsm/regression-test-eval/subjects/kenglxn_QRGen,true,4,2,2,true
/home/lhsm/regression-test-eval/subjects/apache_mina,true,47,42,6,true
/home/lhsm/regression-test-eval/subjects/jenkinsci_docker-slaves-plugin,true,16,10,6,true
/home/lhsm/regression-test-eval/subjects/mangstadt_ez-vcard,true,5,3,3,true
/home/lhsm/regression-test-eval/subjects/spring-projects_spring-retry,true,9,8,2,true
/home/lhsm/regression-test-eval/subjects/docker-java_docker-java,true,6,3,3,true
/home/lhsm/regression-test-eval/subjects/javaslang_javaslang,true,76,133,-57,false
/home/lhsm/regression-test-eval/subjects/winterstein_Eclipse-Markdown-Editor-Plugin,true,19,0,19,true
/home/lhsm/regression-test-eval/subjects/zalando_bigbash,true,3,0,2,true
/home/lhsm/regression-test-eval/subjects/cloudera_spark-dataflow,true,70,56,13,true
/home/lhsm/regression-test-eval/subjects/WebGoat_WebGoat-Legacy,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/jpush_jpush-api-java-client,true,2,0,2,true
/home/lhsm/regression-test-eval/subjects/jeremyh_jBCrypt,true,12,12,1,false
/home/lhsm/regression-test-eval/subjects/CloudSlang_cloud-slang,true,83,56,27,true
/home/lhsm/regression-test-eval/subjects/patrickfav_density-converter,false,81,80,1,true
/home/lhsm/regression-test-eval/subjects/giltene_jHiccup,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/dcm4che_dcm4che,true,18,4,14,true
/home/lhsm/regression-test-eval/subjects/medcl_elasticsearch-analysis-mmseg,true,2,0,2,true
/home/lhsm/regression-test-eval/subjects/Baeldung_spring-security-oauth,true,9,6,2,true
/home/lhsm/regression-test-eval/subjects/perwendel_spark,true,19,3,16,true
/home/lhsm/regression-test-eval/subjects/rythmengine_rythmengine,true,35,33,2,true
/home/lhsm/regression-test-eval/subjects/apache_maven,true,43,13,30,true
/home/lhsm/regression-test-eval/subjects/blynkkk_blynk-server,false,4,1,4,true
/home/lhsm/regression-test-eval/subjects/digitalfondue_lavagna,true,29,18,11,true
/home/lhsm/regression-test-eval/subjects/swagger-api_swagger-socket,true,22,16,5,true
/home/lhsm/regression-test-eval/subjects/libgdx_packr,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/wildfly-swarm-archive_ARCHIVE-wildfly-swarm,false,3,0,3,true
/home/lhsm/regression-test-eval/subjects/spring-projects_spring-mvc-showcase,true,16,14,2,true
/home/lhsm/regression-test-eval/subjects/apache_jackrabbit,true,383,371,13,true
/home/lhsm/regression-test-eval/subjects/bazaarvoice_jolt,true,44,1,43,true
/home/lhsm/regression-test-eval/subjects/RustDT_RustDT,true,14,0,14,true
/home/lhsm/regression-test-eval/subjects/Netflix_Surus,false,1,0,1,true
/home/lhsm/regression-test-eval/subjects/RuedigerMoeller_fast-serialization,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/jreijn_spring-comparing-template-engines,true,1,0,1,true
/home/lhsm/regression-test-eval/subjects/jmeter-maven-plugin_jmeter-maven-plugin,false,0,0,0,false
/home/lhsm/regression-test-eval/subjects/spring-projects_spring-data-commons,true,17,9,8,true
/home/lhsm/regression-test-eval/subjects/carrot2_elasticsearch-carrot2,false,1,0,1,true
