subject,system_t,user_t,elapsed_t,elapsed_t_debug,cpu_usage
retrofit,1.28,50.49,18.01,18s,287.45
okhttp,3.87,54.16,97.84,1m37s,59.31
java-design-patterns,9.68,293.06,134.93,2m14s,224.37
guava,8.24,1017.42,324.58,5m24s,316.00
libgdx,0.44,15.7,4.91,4s,328.72
spring-boot,1.3,53.16,15.53,15s,350.68
fastjson,1.6,47.05,19.94,19s,243.98
dubbo,2.71,59.83,80.7,1m20s,77.50
junit4,0.96,32.12,10.9,10s,303.49
presto,285.94,11603.52,2832.09,47m12s,419.81
dropwizard,6.99,244.38,95.37,1m35s,263.57
spark,1.38,44.45,19.21,19s,238.57
otto,0.2,12.52,3.53,3s,360.34
zipkin,4.63,118.75,146.57,2m26s,84.18
druid,3.22,108.2,57.01,57s,195.44
metrics,1.24,42.12,17.18,17s,252.39
android-volley,0.58,28.35,7.56,7s,382.67
guice,3.37,123.08,39.76,39s,318.03
druid,3.41,105.5,54.56,54s,199.62
scribejava,0.54,21.39,5.44,5s,403.12
swagger-core,1.43,86.05,24.35,24s,359.26
HikariCP,2.59,113.52,141.43,2m21s,82.10
jsoup,0.31,11.26,2.95,2s,392.20
async-http-client,2.1,45.24,138.9,2m18s,34.08
DiskLruCache,0.42,9.02,3.17,3s,297.79
okio,1.42,155.4,112.88,1m52s,138.93
closure-compiler,7.94,268.6,69.45,1m9s,398.19
atmosphere,1.41,48.71,35.77,35s,140.12
alluxio,31.02,855.66,461.61,7m41s,192.08
orientdb,22.32,846.6,634.11,10m34s,137.03
javapoet,0.57,18.33,7.84,7s,241.07
jstorm,16.13,178.14,349.13,5m49s,55.64
joda-time,0.49,15.11,4.74,4s,329.11
graylog2-server,21.16,779.57,205.42,3m25s,389.80
parceler,0.41,22.35,6.07,6s,374.96
spring-mvc-showcase,0.35,14.3,15.89,15s,92.20
dex2jar,1.1,68.06,16.98,16s,407.30
nanohttpd,2.47,102.67,42.49,42s,247.45
mapdb,24.34,496.84,620.73,10m20s,83.96
moshi,0.35,13.84,3.61,3s,393.07
jsonschema2pojo,0.57,23.85,17.37,17s,140.59
zeppelin,1.57,36.27,123.95,2m3s,30.53
motan,0.8,22.46,28.85,28s,80.62
distributedlog,4.71,76.95,427.82,7m7s,19.09
http-request,0.24,8.51,2.51,2s,348.61
Bukkit,0.16,5.85,1.86,1s,323.12
Algorithms,0.16,5.62,1.63,1s,354.60
wire,0.65,25.34,6.84,6s,379.97
javacpp,1.17,26.66,20.88,20s,133.29
jersey,124.8,2712.66,1008.8,16m48s,281.27
spring-security-oauth,0.9,41.26,13.58,13s,310.46
flink,71.79,1457.19,461.32,7m41s,331.44
vectalign,0.49,9.6,2.51,2s,401.99
aws-sdk-java,3.98,913.69,210.88,3m30s,435.16
robovm,1.46,41.01,12.54,12s,338.68
gs-collections,0.76,33.22,9.61,9s,353.59
