project,time
bennidi_mbassador,0.591
bennidi_mbassador,0.106
bennidi_mbassador,0.013
bennidi_mbassador,0.001
bennidi_mbassador,0.003
bennidi_mbassador,0.001
bennidi_mbassador,0.001
bennidi_mbassador,0.004
bennidi_mbassador,0
bennidi_mbassador,0
bennidi_mbassador,0.002
bennidi_mbassador,0.001
bennidi_mbassador,0.001
bennidi_mbassador,0.001
bennidi_mbassador,0
bennidi_mbassador,0.001
bennidi_mbassador,0.576
bennidi_mbassador,1.747
bennidi_mbassador,5.373
bennidi_mbassador,9.473
bennidi_mbassador,0.558
bennidi_mbassador,0.24
bennidi_mbassador,1.44
bennidi_mbassador,8.716
bennidi_mbassador,1.093
bennidi_mbassador,1.826
bennidi_mbassador,0.046
bennidi_mbassador,0.001
bennidi_mbassador,0.004
bennidi_mbassador,0.003
bennidi_mbassador,0.001
bennidi_mbassador,0.304
bennidi_mbassador,0.079
bennidi_mbassador,0.046
bennidi_mbassador,0.041
bennidi_mbassador,0.032
bennidi_mbassador,0.044
bennidi_mbassador,0.031
bennidi_mbassador,0.028
bennidi_mbassador,0.032
bennidi_mbassador,0.035
bennidi_mbassador,0.029
bennidi_mbassador,0.811
bennidi_mbassador,1.683
bennidi_mbassador,0.069
bennidi_mbassador,0.23
bennidi_mbassador,0.009
bennidi_mbassador,0.002
bennidi_mbassador,0.002
bennidi_mbassador,0
bennidi_mbassador,0.001
bennidi_mbassador,0.001
bennidi_mbassador,0
bennidi_mbassador,0.001
bennidi_mbassador,0
bennidi_mbassador,0.143
bennidi_mbassador,0.183
bennidi_mbassador,0.043
bennidi_mbassador,0.024
bennidi_mbassador,0.003
bennidi_mbassador,0.204
bennidi_mbassador,0.063
bennidi_mbassador,0.04
bennidi_mbassador,0.02
bennidi_mbassador,0.012
bennidi_mbassador,4.21
bennidi_mbassador,0.902
bennidi_mbassador,0.286
bennidi_mbassador,0.892
bennidi_mbassador,0.012
bennidi_mbassador,0.005
bennidi_mbassador,0.003
bennidi_mbassador,0
bennidi_mbassador,0.001
bennidi_mbassador,0
bennidi_mbassador,0
bennidi_mbassador,0.001
bennidi_mbassador,1.614
bennidi_mbassador,3.915
bennidi_mbassador,9.014
bennidi_mbassador,0.602
bennidi_mbassador,0.281
bennidi_mbassador,2.164
bennidi_mbassador,4.37
bennidi_mbassador,0.693
bennidi_mbassador,1.638
bouncestorage_chaos-http-proxy,31.153
bouncestorage_chaos-http-proxy,10.104
bouncestorage_chaos-http-proxy,0.053
bouncestorage_chaos-http-proxy,0.032
bouncestorage_chaos-http-proxy,0.027
bouncestorage_chaos-http-proxy,0.056
bouncestorage_chaos-http-proxy,0.019
bouncestorage_chaos-http-proxy,0.02
bouncestorage_chaos-http-proxy,0.025
bouncestorage_chaos-http-proxy,0.024
bouncestorage_chaos-http-proxy,0.019
bouncestorage_chaos-http-proxy,0.022
bouncestorage_chaos-http-proxy,15.021
bouncestorage_chaos-http-proxy,0.047
bouncestorage_chaos-http-proxy,30.035
bouncestorage_chaos-http-proxy,0.036
bouncestorage_chaos-http-proxy,0.027
bouncestorage_chaos-http-proxy,0.078
bouncestorage_chaos-http-proxy,0.005
jenkinsci_scm-sync-configuration-plugin,0.691
jenkinsci_scm-sync-configuration-plugin,0.029
jenkinsci_scm-sync-configuration-plugin,0.024
jenkinsci_scm-sync-configuration-plugin,0.027
jenkinsci_scm-sync-configuration-plugin,0.035
jenkinsci_scm-sync-configuration-plugin,0.129
jenkinsci_scm-sync-configuration-plugin,0.005
jenkinsci_scm-sync-configuration-plugin,0.021
jenkinsci_scm-sync-configuration-plugin,0.004
jenkinsci_scm-sync-configuration-plugin,0.002
jenkinsci_scm-sync-configuration-plugin,0.112
jenkinsci_scm-sync-configuration-plugin,0.002
jenkinsci_scm-sync-configuration-plugin,0.006
jenkinsci_scm-sync-configuration-plugin,0.054
