created_at,default_branch,fork,full_name,ismaven,pushed_at,rev,size,stargazers_count
2013-04-13T15:02:24Z,master,False,mohamicorp/stash-jenkins-postreceive-webhook,True,2017-11-01T17:51:49Z,d0a07ce1918aa9dee6e9c67a2f40cf42c8c97208,1201,141
2011-07-19T11:04:46Z,master,False,aharin/inproctester,True,2017-11-05T09:14:35Z,170c3814ad9130a96372c9d71e0d2f2fcb430215,305,122
2016-06-18T03:31:39Z,master,False,justinbaby/seckill-demo,True,2017-11-06T09:31:49Z,f788393967bb2e5f5e6608cf62093fd4674fa061,12377,218
2014-11-13T20:26:22Z,master,False,psidnell/ofexport2,True,2017-11-06T17:03:43Z,07cbb0c1b200111547b9d645477c4f9c757a3126,17934,113
2015-10-13T16:09:31Z,master,False,sirensolutions/siren-join,True,2017-11-07T10:24:29Z,cba1111b209ce6f72ab7750d5488a573a6c77fe5,478,174
2017-09-29T05:54:18Z,master,False,MIYAOW/MI-S,True,2017-11-07T09:18:06Z,7fd51fb1b8cec00a90d62672f3f98f5b11ccb264,5079,107
2013-06-26T17:23:19Z,master,False,aws-samples/aws-dynamodb-examples,True,2017-11-08T15:16:36Z,c68fafca35fb4d46fe39364d66593f5ac0b67fdc,83,160
2010-08-12T18:42:44Z,master,False,larsgeorge/hbase-book,True,2017-11-09T08:56:45Z,2ecb9a13820e7effb12c4ae1cb998eddc1414e46,1966,738
2013-10-11T04:05:09Z,master,False,jhalterman/lyra,True,2017-11-09T23:46:52Z,ce347a69357fef1b34e92d92a4f9e68792d81255,1062,257
2011-06-12T13:38:51Z,master,False,pulse00/Twig-Eclipse-Plugin,True,2017-11-10T14:58:18Z,22ab00a0dc733416b51a422fd28367d6154de607,14016,108
2013-04-24T03:11:01Z,stable,False,Libresonic/libresonic,True,2017-11-14T15:41:04Z,56f5625e79ef876905f9ff1850d19fd287f2b367,278225,779
2017-06-21T11:29:31Z,master,False,JeffLi1993/springcloud-learning-example,True,2017-11-15T02:14:05Z,4c789a94a4fd99adf87276f1622ac7aa21b67988,75,328
2014-02-26T03:30:50Z,master,False,4pr0n/ripme,True,2017-11-17T10:12:09Z,351b58ce22974c9b7bc290e0afe0d9c3f4133a0c,1288,830
2017-04-24T04:08:52Z,master,False,chuanzh/eop,True,2017-11-17T02:45:26Z,37923d75afd5e7c232734d19f1d5521be7cba9a9,809,125
2017-05-31T02:23:15Z,master,False,RojerAlone/shop,True,2017-11-20T04:35:39Z,32cb1bd9ed22409c10c9428fad4495c4329761c7,63576,102
2017-05-21T15:30:36Z,master,False,wxiaoqi/ace-cache,True,2017-11-20T06:43:37Z,24f2b42937ad83ce619bd815e563279a4695abe1,140,102
2017-04-19T06:04:20Z,master,False,HujiangTechnology/Juice,True,2017-11-21T10:39:46Z,bba026a6701f2e8ac58ac917cddaeecbf843be92,112,100
2016-10-12T07:30:58Z,master,False,roncoo/roncoo-mybatis-generator,True,2017-11-22T03:43:52Z,0aef28a38c08ffad16406271a53b5ae39e2c3261,4905,150
2013-10-24T06:16:39Z,master,False,cambecc/grib2json,True,2017-11-23T04:54:56Z,cfbe5574ca34fbccb54292a410b709c66d9f2037,50,164
2014-01-29T20:17:12Z,master,False,robert-bor/aho-corasick,True,2017-11-24T16:50:47Z,b7cc1136e5475940b4625929047288bf6ace8bc7,609,427
2013-09-02T15:32:37Z,master,False,ivan-vasilev/neuralnetworks,True,2017-11-26T03:25:39Z,cb52c1b95314bcdac8017269a2443f7ced3cf1b9,192738,1199
2013-09-08T09:18:00Z,master,False,codelibs/elasticsearch-river-web,True,2017-11-26T13:30:35Z,63e41a5b49a10f96629c40f9354e1dabf0144bdc,327,224
2012-01-05T00:36:34Z,master,False,JakeWharton/DiskLruCache,True,2017-11-27T03:19:41Z,3e016356cfc7e5f9644a7a732fe0223e9742e024,416,4901
2015-05-07T17:44:02Z,master,False,livelessons-spring/building-microservices,True,2017-11-27T02:46:21Z,0fa38f89b0dfa00e088556641495a7681227f33f,750,489
2016-02-19T02:39:07Z,release-0.6,False,domeos/server,True,2017-11-29T01:29:06Z,d77518106edfbe925807abf940b03631c18fe3e1,90875,239
2012-12-10T10:47:36Z,master,False,grahamar/cron-parser,True,2017-11-29T11:44:24Z,e47ea92314e4a209d3ad6ff4dcda2c6746f8e7c0,257,118
2017-10-04T11:30:01Z,master,False,CyrilFeng/foolqq,True,2017-11-30T09:10:06Z,03c29853286f2c50fdba62ed1e0319168f8fb622,814,215
2016-05-23T13:07:09Z,master,False,hailin0/sensitive-word-filter,True,2017-11-30T02:47:44Z,c1d2b25a0cd95f02c7240637b03919341d12e210,839,152
2017-07-24T09:26:18Z,master,False,white-cat/jeeweb-mybatis,True,2017-12-01T01:09:42Z,8b70a16bcaee85c7f763b485fb6d28df0fa855db,8909,190
2016-09-13T03:17:26Z,master,False,Coding/WebIDE-Backend,True,2017-12-01T01:30:15Z,ddb5008e5f807d32217362697d09d4f78c61b75a,1881,178
2016-08-03T08:54:30Z,master,False,svlada/springboot-security-jwt,True,2017-12-02T13:17:35Z,0292a78f91082b86c14ddf7280b444875a4e9b49,93,551
2017-11-12T13:50:12Z,master,False,lattebank/rate-limiter,True,2017-12-03T11:58:49Z,214f3fcdd0ce25d3faa821c013ba377c90b8e197,37,162
2012-01-13T03:22:39Z,3.0,False,jexp/batch-import,True,2017-12-04T23:55:42Z,d0968efa89e0fc4cbf2f95e32457b371490ea9ea,366,335
2017-06-12T12:21:59Z,master,False,TFdream/mango,True,2017-12-05T04:55:14Z,5fe3f620b54d220db07b99700ed9b9deb67a2c85,532,106
2012-03-05T15:10:10Z,master,False,ippontech/tatami,True,2017-12-06T11:27:04Z,90fdbfc474dca03ede431460237a80f8e442cbe3,59683,319
2008-10-18T12:41:07Z,master,False,myabc/markdownj,True,2017-12-07T13:59:42Z,f8ed00caeb69fc602aa2209812d953c26c2a4263,1346,426
2016-11-24T20:57:17Z,master,False,merapar/graphql-spring-boot-starter,True,2017-12-07T16:37:33Z,9c6ee97f999a2719937502eb286b7de8b02d3743,78,159
2014-07-09T07:31:54Z,develop,False,sutra/okcoin-client,True,2017-12-08T17:55:52Z,33033c1a245b8ffd8fbf065956d3b43067d2a7d6,426,128
2011-01-02T23:52:21Z,master,False,Bukkit/SamplePlugin,True,2017-12-10T10:37:19Z,d6c474cd324cc09489ad33e8aace76d6e4ecb9cc,194,120
2013-04-11T13:47:23Z,master,False,Thomas-S-B/visualee,True,2017-12-12T19:29:52Z,88732d9dbe5031dad9c9f85a4c4b35e5f1551f95,649,165
2010-12-16T08:03:24Z,master,False,stephenc/high-scale-lib,True,2017-12-13T05:29:45Z,7da06269a9918c0a5d53944c2fb26e14a7dd0942,2482,143
2013-11-12T12:14:50Z,master,False,sentilo/sentilo,True,2017-12-13T16:10:31Z,36afae85a678f2b05195931341a424d2d3dcb1b3,4415,118
2015-07-23T13:53:32Z,dev,False,Treeptik/cloudunit,True,2017-12-14T11:16:22Z,5079ab85d2998fcc42b4d0a5405231c31f614124,198951,124
2015-11-06T16:59:39Z,5.1.2,False,elasticfence/elasticsearch-http-user-auth,True,2017-12-15T09:32:28Z,7ef2dd2e455665df68c75c3259bc7dbba0a8dcc2,14576,135
2016-04-05T09:22:35Z,master,False,dearbinge/dubbo-spring-boot-mybatis-redis,True,2017-12-16T14:55:49Z,21f3f662f7303ff97ff10c66e29e24545cf525a3,29,744
2017-09-16T10:08:02Z,master,False,lee123lee123/GoPush,True,2017-12-16T12:27:40Z,c12a5c817e7a20736817be15f8abff1fbc448113,114,118
2008-02-29T21:22:38Z,master,False,dustin/java-memcached-client,True,2017-12-19T01:35:41Z,c232307ad8e0c7ccc926e495dd7d5aad2d713318,5340,466
2016-09-11T16:40:17Z,master,False,yuzd/coding.net,True,2017-12-19T15:06:17Z,62e5d428a87587fe96d1b54a7aca22a2a12d4744,32,236
2016-07-15T01:00:42Z,master,False,benas/jql,True,2017-12-19T11:19:02Z,164616ddaf820f4937827d42ad06b3ea6c8fd558,3956,139
2016-05-20T09:28:00Z,master,False,zqhxuyuan/kafka-book,True,2017-12-19T10:29:34Z,33fb723886086a390b00b75bd4634771fc7a9edb,836,128
2012-08-04T10:04:19Z,master,False,fabiomaffioletti/jsondoc,True,2019-03-13T10:02:17Z,efc7de8c453993bfaa1420c56541ec8cd9027211,3736,264
2017-03-20T08:05:54Z,master,False,SpringForAll/spring-boot-starter-hbase,True,2017-12-20T03:31:48Z,9779214ffff7b8ea6e5adbf0ce4ff4f7806e8077,30,179
2011-04-21T08:57:51Z,master,False,rest-driver/rest-driver,True,2017-12-20T11:04:31Z,d7af96801f152af3d7bb0abf534481914bf98e0d,1868,164
2017-04-24T07:51:13Z,master,False,wen-fei/choice,True,2017-12-21T15:16:22Z,5fa575a3f9213ff6ef7630a4a4e22e1eb85056d9,8333,134
2012-04-12T04:50:23Z,master,False,adyliu/zkclient,True,2017-12-22T10:22:14Z,959722fd68967bc0f3f28d9b1cd150e5e8282c48,155,131
2015-07-20T02:15:14Z,master,False,xiaowei1118/java_server,True,2017-12-25T07:08:32Z,5701a2c1afc9f35f8ef5c99fe985336b136b4f3b,3418,287
2013-10-17T19:41:02Z,master,False,salyh/elasticsearch-security-plugin,True,2017-12-25T23:11:24Z,1d7f63db18c9f10171a8afe50dce0bd5f56000dc,344,172
2017-06-19T07:33:41Z,master,False,junneyang/xxproject,True,2017-12-27T05:51:30Z,4ddab72740f2b0fd396e570da46e36b779fb99af,3741,286
2015-04-03T02:21:52Z,1.1.0,False,teaey/apns4j,True,2017-12-29T08:02:38Z,de8f6a3bb344b033ee579c777ecf74a711b5d000,100,115
2017-12-29T09:07:48Z,master,False,cloudegg-tech/com.cloudeggtech.marble,True,2017-12-29T09:10:49Z,0d47f7063e69c1b74c5ccf098b33491ca04e690b,28,107
2014-12-01T00:18:23Z,master,False,kohlschutter/boilerpipe,True,2018-01-03T21:47:34Z,2c78035a830282e2435c466f3f14d6d4104d0a94,2377,826
2017-08-04T03:19:20Z,master,False,jigsaw-projects/jigsaw-payment,True,2018-01-04T15:04:06Z,04e7e24f8ad046064ca5625d1bbac5331585d131,17108,588
2013-04-05T11:10:46Z,develop,False,ef-labs/vertx-jersey,True,2018-01-05T19:49:16Z,733482a8a5afb1fb257c682b3767655e56f7a0fe,975,142
2015-02-28T19:01:02Z,master,False,ganskef/LittleProxy-mitm,True,2018-01-05T15:12:54Z,56c87a9f0c4265b558acb593dd74c523649b19bf,588,125
2009-02-10T16:28:47Z,master,False,nodebox/nodebox,True,2018-01-08T12:53:56Z,6653934c5a663f34b3942daf229b1db3faa06903,96294,573
2011-07-16T12:03:59Z,master,False,Multibit-Legacy/multibit,True,2018-01-08T07:09:42Z,21e2e9d653d291a7dc36d21b6fc14b2a0da48985,148348,374
2014-08-17T10:21:54Z,master,False,Glamdring/computoser,True,2018-01-08T17:56:47Z,94b518cc46d672ee062532befd180f2105f0f248,16087,120
2015-12-04T06:20:38Z,master,False,prontera/spring-cloud-rest-tcc,True,2018-01-09T01:19:51Z,ce2d76857834fc9fc624cbf4caf363110e5eb022,4377,2120
2010-01-10T12:44:58Z,master,False,wwadge/bonecp,True,2018-01-09T13:10:41Z,74bc3287025fc137ca28909f0f7693edae37a15d,3833,511
2011-08-19T22:32:45Z,master,False,threerings/playn,True,2018-01-09T22:22:03Z,c266eeb39188dcada4b00992a0d1199759e03d42,75677,196
2014-12-13T11:22:49Z,master,False,winterbe/github-matrix,True,2018-01-09T09:09:00Z,f0b95a6bf10e7c9d22cbb5af8ee3e046244e04e7,23,151
2011-10-27T22:00:54Z,master,False,depsypher/pngtastic,True,2018-01-11T02:19:31Z,13fd2a63dd8b2febd7041273889a1bba4f2a6a07,21029,137
2013-10-15T13:22:12Z,master,False,Hive2Hive/Hive2Hive,True,2018-01-14T16:16:26Z,65d8a454009fd469fca93e82f2f2f13656dcd6db,10384,419
2017-05-05T00:58:53Z,master,False,chanjarster/artemis-disruptor-miaosha,True,2018-01-15T07:32:40Z,9a6ccfaf958a4f94f452007833783df53c279eaf,493,471
2018-01-14T14:27:22Z,master,False,dee1024/jump-jump-game,True,2018-01-16T13:37:38Z,0145d76eab470dc0e3daebd11a462e43089afe3a,714,150
2015-01-12T20:31:53Z,master,False,Netflix/Surus,True,2018-01-17T18:56:26Z,05659af43697f6dae5743fd0a1931c210757e1e7,1166,402
2017-05-24T13:23:08Z,master,False,sebastienblanc/spring-boot-keycloak-tutorial,True,2018-01-17T22:36:01Z,2e473531d19c1c1894b91c835596e62f7f15f9e1,15,118
2015-09-01T02:05:16Z,master,False,xuminwlt/j360-boot,True,2018-01-17T04:10:47Z,02b80ae82d9fb0f6c079de3df4409ef1eb6233df,880,112
2017-05-30T21:52:59Z,master,False,jtanza/rufus,True,2018-01-17T00:49:52Z,eea3d0ca60c6d91d08e21261d4c4890196dd3ee5,267,107
2016-03-22T16:43:04Z,master,False,blockchain/thunder,True,2018-01-19T06:22:54Z,ac982162dfa56d25fecdb8b651e95f7253234b85,3234,421
2015-12-17T08:24:10Z,master,False,ScienJus/smartqq,True,2018-01-20T13:01:36Z,053dadf36793dc86a13d00ac42fbe82c5b025683,284,1109
2017-04-19T08:55:14Z,master,False,coder-yqj/springboot-shiro,True,2018-01-21T03:43:58Z,e6848f9731fbc7cab1cb7972ecc212d012a926c7,844,388
2014-08-17T13:24:08Z,master,False,nkcoder/quartz-explained,True,2018-01-21T10:26:47Z,e54a51d89019198e90893fe71aba15e376a0f0c4,520,202
2017-04-01T13:09:08Z,master,False,FuZhucheng/SSM,True,2018-01-22T08:18:03Z,cc34062b62d114a703a13884e7fbd11ebe41d49c,86078,561
2017-09-21T14:27:51Z,master,False,1991wangliang/tx-lcn,True,2018-01-22T03:00:44Z,8ebb5018e190518aed20a7db804c5ee067a777c6,872,259
2018-01-08T02:21:10Z,master,False,lrwinx/shop,True,2018-01-22T07:36:40Z,d705746f8d939f3c4e3c9ee36a6238b45e255889,240,245
2017-05-29T05:27:51Z,master,False,Lovelcp/spring-boot-mybatis-with-redis,True,2018-01-22T02:19:22Z,f7ee97c36516acd26b96ef408c458f0d06e0f74d,13,176
2014-01-07T21:14:07Z,master,False,RNCryptor/JNCryptor,True,2018-01-22T02:41:30Z,37e7a963772ef770f72d2296ef54b2dfb41c586c,281,168
2018-01-11T13:41:16Z,master,False,biezhi/elves,True,2018-01-24T09:22:37Z,0b13f4b812e87c4c9d0e22dfd1b5b1c07c4e65bf,557,272
2014-07-03T10:03:57Z,master,False,wendykierp/JTransforms,True,2018-01-24T13:24:17Z,3c3253f240510c5f9ec700f2d9d25cfadfc857cc,7578,214
2017-12-18T09:12:10Z,master,False,elasticjob/elastic-job-cloud,True,2018-01-24T05:24:13Z,ce7d31b3688de82d4ceddb02ac73ab4a2acc8587,1341,132
2017-02-07T14:49:35Z,master,False,tinylcy/ClassAnalyzer,True,2018-01-24T10:41:28Z,63b9854d61f47771fda2ceb820fca5a96c9e97ea,42,131
2015-10-13T01:12:48Z,master,False,uustory/U8Server,True,2018-01-25T21:55:28Z,7234aff3fd4b4621ae728593b807af93d34b0cbf,58833,228
2017-10-29T07:23:09Z,master,False,SpringCloud/spring-cloud-codegen,True,2018-01-25T03:02:47Z,9903197a8f43b81a8ba52f2dce03c58f26c6daeb,8115,166
2016-03-30T08:33:23Z,master,False,LABELNET/YuanNews,True,2018-01-25T02:25:23Z,2e8d56a7a3085794b013b3e1a9f3f7a053d7e6c3,10167,101
2011-12-05T14:10:21Z,master,False,elastic/elasticsearch-river-rabbitmq,True,2018-01-26T01:31:47Z,05e886103918949d3c329ce803bdfb9de74dea51,988,172
2016-06-01T17:32:53Z,master,False,funktionio/funktion-connectors,True,2018-01-29T08:12:11Z,b58103622a09a7f5e57ad076c1ba007b555951c7,5262,313
2014-05-06T04:38:55Z,master,False,boundary/fasttuple,True,2018-01-29T18:37:10Z,f43f1a92cdf8ea4dfabd13619275f15726f04a4f,338,137
