name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
cache2k,0328022208,SUCCESS,SUCCESS,134,213.56799999999998,5119,100,0
cache2k,0328042247,SUCCESS,SUCCESS,135,219.83900000000006,5119,100,0
cache2k,0328051636,SUCCESS,SUCCESS,151,203.92200000000005,5119,100,0
californium,0326233423,SUCCESS,FAILURE,68,63.145,27,5,3
californium,0326214106,SUCCESS,FAILURE,68,63.211,27,5,3
californium,0326193008,SUCCESS,FAILURE,71,63.718,27,5,3
twilio-java,0328022208,SUCCESS,SUCCESS,155,940.282,2439,358,0
twilio-java,0328042247,SUCCESS,SUCCESS,159,954.9470000000006,2439,358,0
twilio-java,0328051636,SUCCESS,SUCCESS,150,904.5079999999996,2439,358,0
hazelcast-jet,0326233423,FAILURE,SUCCESS,617,824.763,1531,117,0
hazelcast-jet,0326214106,FAILURE,SUCCESS,728,1023.5290000000001,1531,117,0
hazelcast-jet,0326193008,FAILURE,SUCCESS,1069,1536.1320000000003,1531,117,0
jcabi-github,0326233423,SUCCESS,SUCCESS,65,155.6760000000001,643,159,0
jcabi-github,0326214106,SUCCESS,SUCCESS,74,153.767,643,159,0
jcabi-github,0326193008,SUCCESS,SUCCESS,86,223.0259999999999,643,159,0
opennlp,0326233423,SUCCESS,SUCCESS,125,172.87999999999994,576,135,0
opennlp,0326214106,SUCCESS,SUCCESS,112,158.065,576,135,0
opennlp,0326193008,SUCCESS,SUCCESS,119,161.51999999999987,576,135,0
rultor,0326233423,SUCCESS,FAILURE,33.1,64.89599999999997,142,66,3
rultor,0326214106,SUCCESS,FAILURE,33.57,71.597,142,66,3
rultor,0326193008,SUCCESS,FAILURE,41.201,77.40399999999998,142,66,3
search-guard,0328022208,SUCCESS,SUCCESS,339,920.369,88,15,0
search-guard,0328042247,SUCCESS,SUCCESS,340,921.3820000000002,88,15,0
search-guard,0328051636,SUCCESS,SUCCESS,317,856.7909999999999,88,15,0
avro,0328022208,SUCCESS,SUCCESS,439,204.97599999999997,3768,184,0
avro,0328042247,SUCCESS,SUCCESS,414,192.26900000000003,3768,184,0
avro,0328051636,SUCCESS,SUCCESS,420,195.75400000000008,3768,184,0
togglz,0328022208,SUCCESS,SUCCESS,206,147.16999999999996,447,99,0
togglz,0328042247,SUCCESS,SUCCESS,205,147.174,447,99,0
togglz,0328051636,SUCCESS,SUCCESS,186,133.52500000000003,447,99,0
javaslang,0326233423,FAILURE,FAILURE,25.467,0,0,0,0
javaslang,0326214106,FAILURE,FAILURE,26.267,0,0,0,0
javaslang,0326193008,FAILURE,FAILURE,35.677,0,0,0,0
logging-log4j2,0326233423,SUCCESS,FAILURE,771,390.21499999999975,2505,418,2
logging-log4j2,0326214106,SUCCESS,FAILURE,757,382.61599999999976,2505,418,2
logging-log4j2,0326193008,SUCCESS,FAILURE,946,494.92900000000037,2505,418,3
takes,0326233423,SUCCESS,SUCCESS,45.295,60.827,420,149,0
takes,0326214106,SUCCESS,SUCCESS,44.205,58.77900000000003,420,149,0
takes,0326193008,SUCCESS,SUCCESS,47.145,59.47399999999999,420,149,0
optaplanner,0328022208,SUCCESS,SUCCESS,459,689.480999999999,2406,392,0
optaplanner,0328042247,SUCCESS,SUCCESS,465,699.7429999999986,2406,392,0
optaplanner,0328051636,SUCCESS,SUCCESS,438,661.2729999999992,2406,392,0
vavr,0326233423,SUCCESS,SUCCESS,281,454.1189999999999,15568,139,0
vavr,0326214106,SUCCESS,SUCCESS,243,353.1169999999999,15568,139,0
vavr,0326193008,SUCCESS,SUCCESS,235,343.42299999999994,15568,139,0
javaparser,0328022208,SUCCESS,SUCCESS,323,281.7429999999997,2375,218,0
javaparser,0328042247,SUCCESS,SUCCESS,334,289.6659999999995,2375,218,0
javaparser,0328051636,SUCCESS,SUCCESS,334,289.9009999999996,2375,218,0
mahout,0326233423,SUCCESS,SUCCESS,1708,1802.8050000000014,3375,343,0
mahout,0326214106,SUCCESS,SUCCESS,1686,1805.776,3375,343,0
mahout,0326193008,SUCCESS,SUCCESS,1813,1933.9220000000007,3375,343,0
flink,0326233423,SUCCESS,FAILURE,185,161.811,3349,300,2
flink,0326214106,SUCCESS,FAILURE,201,192.61399999999983,3349,300,2
flink,0326193008,SUCCESS,FAILURE,229,202.87199999999982,3349,300,2
oozie,0328022208,SUCCESS,FAILURE,4080,4018.3359999999993,2970,425,1
oozie,0328042247,SUCCESS,FAILURE,264,4.421999999999999,818,80,0
oozie,0328051636,SUCCESS,FAILURE,274,5.1049999999999995,818,80,0
leshan,0328022208,SUCCESS,SUCCESS,58.01,86.57399999999998,310,43,0
leshan,0328042247,SUCCESS,SUCCESS,57.419,86.068,310,43,0
leshan,0328051636,SUCCESS,FAILURE,68,111.83900000000003,310,43,2
zxing,0328022208,SUCCESS,SUCCESS,148,183.01099999999988,458,140,0
zxing,0328042247,SUCCESS,SUCCESS,147,178.81799999999996,458,140,0
zxing,0328051636,SUCCESS,SUCCESS,141,174.7719999999999,458,140,0
chaos-http-proxy,0326233423,SUCCESS,SUCCESS,97,87.827,21,3,0
chaos-http-proxy,0326214106,SUCCESS,SUCCESS,98,87.98800000000001,21,3,0
chaos-http-proxy,0326193008,SUCCESS,SUCCESS,88,74.149,21,3,0
mapdb,0326233423,SUCCESS,SUCCESS,639,495.4109999999999,3697,178,0
mapdb,0326214106,SUCCESS,SUCCESS,612,475.68899999999996,3697,178,0
mapdb,0326193008,SUCCESS,SUCCESS,623,485.20700000000016,3697,178,0
