name,module,mode
avro,maven-plugin,C3
avro,protobuf,C3
avro,thrift,C3
avro,grpc,C3
avro,test-custom-conversions,C3
avro,codegen-test,C3
cache2k,cache2k-testing,C2
cache2k,cache2k-api,C2
cache2k,cache2k-schemas,C2
cache2k,cache2k-core,C2
cache2k,cache2k-all,C2
cache2k,cache2k-osgi-all,C2
cache2k,cache2k-jcache,C2
cache2k,cache2k-jcache-tests,C2
cache2k,test-osgi,C2
cache2k,cache2k-spring,C2
chaos-http-proxy,chaos-http-proxy,C2
flink,flink,FC0
flink,flink-annotations,FC0
flink,flink-shaded-hadoop,FC0
flink,flink-shaded-hadoop2,FC0
flink,flink-shaded-hadoop2-uber,FC0
flink,flink-shaded-yarn-tests,FC0
flink,flink-shaded-curator,FC0
flink,flink-metrics,FC0
flink,flink-metrics-core,FC0
flink,flink-test-utils-parent,FC0
flink,flink-test-utils-junit,FC0
flink,flink-core,FC0
flink,flink-java,FC0
flink,flink-queryable-state,FC0
flink,flink-queryable-state-client-java,FC0
flink,flink-filesystems,FC0
flink,flink-hadoop-fs,FC0
flink,flink-runtime,FC0
flink,flink-scala,FC0
flink,flink-mapr-fs,FC0
flink,flink-fs-hadoop-shaded,FC0
flink,flink-s3-fs-base,FC0
flink,flink-s3-fs-hadoop,FC0
flink,flink-s3-fs-presto,FC0
flink,flink-swift-fs-hadoop,FC0
flink,flink-oss-fs-hadoop,FC0
flink,flink-optimizer,FC0
flink,flink-clients,FC0
flink,flink-streaming-java,FC0
flink,flink-test-utils,FC0
flink,flink-runtime-web,FC0
flink,flink-examples,FC0
flink,flink-examples-batch,FC0
flink,flink-connectors,FC0
flink,flink-hadoop-compatibility,FC0
flink,flink-state-backends,FC0
flink,flink-statebackend-rocksdb,FC0
flink,flink-tests,FC0
flink,flink-streaming-scala,FC0
flink,flink-table,FC0
flink,flink-table-common,FC0
flink,flink-table-api-java,FC0
flink,flink-table-api-java-bridge,FC0
flink,flink-libraries,FC0
flink,flink-cep,FC0
flink,flink-table-planner,FC0
flink,flink-orc,FC0
flink,flink-jdbc,FC0
flink,flink-hcatalog,FC0
flink,flink-metrics-jmx,FC0
flink,flink-connector-kafka-base,FC0
flink,flink-formats,FC0
flink,flink-json,FC0
flink,flink-connector-elasticsearch-base,FC0
flink,flink-connector-elasticsearch,FC0
flink,flink-connector-elasticsearch2,FC0
flink,flink-connector-elasticsearch5,FC0
flink,flink-connector-rabbitmq,FC0
flink,flink-connector-twitter,FC0
flink,flink-connector-nifi,FC0
flink,flink-avro,FC0
flink,flink-sql-connector-elasticsearch6,FC0
flink,flink-sql-connector-kafka-0.9,FC0
flink,flink-sql-connector-kafka-0.10,FC0
flink,flink-sql-connector-kafka-0.11,FC0
flink,flink-sql-connector-kafka,FC0
flink,flink-avro-confluent-registry,FC0
flink,flink-parquet,FC0
flink,flink-sequence-file,FC0
flink,flink-csv,FC0
flink,flink-examples-streaming,FC0
flink,flink-table-api-scala,FC0
flink,flink-table-api-scala-bridge,FC0
flink,flink-examples-table,FC0
flink,flink-examples-build-helper,FC0
flink,flink-examples-streaming-twitter,FC0
flink,flink-examples-streaming-state-machine,FC0
flink,flink-container,FC0
flink,flink-queryable-state-runtime,FC0
flink,flink-quickstart,FC0
flink,flink-quickstart-java,FC0
flink,flink-quickstart-scala,FC0
flink,flink-streaming-python,FC0
flink,flink-mesos,FC0
flink,flink-yarn,FC0
flink,flink-gelly,FC0
flink,flink-gelly-scala,FC0
flink,flink-gelly-examples,FC0
flink,flink-metrics-dropwizard,FC0
flink,flink-metrics-graphite,FC0
flink,flink-metrics-influxdb,FC0
flink,flink-metrics-prometheus,FC0
flink,flink-metrics-statsd,FC0
flink,flink-metrics-datadog,FC0
flink,flink-metrics-slf4j,FC0
flink,flink-python,FC0
flink,flink-cep-scala,FC0
flink,flink-ml,FC0
flink,flink-ml-uber,FC0
flink,flink-table-uber,FC0
flink,flink-sql-client,FC0
flink,flink-scala-shell,FC0
flink,flink-dist,FC0
flink,flink-table-runtime-blink,FC0
flink,flink-table-planner-blink,FC0
flink,flink-contrib,FC0
flink,flink-connector-wikiedits,FC0
hazelcast-jet,hazelcast-jet-client-protocol,FC0
hazelcast-jet,hazelcast-jet-core,FC0
hazelcast-jet,hazelcast-jet-all,FC0
hazelcast-jet,hazelcast-jet-hadoop,FC0
hazelcast-jet,hazelcast-jet-kafka,FC0
hazelcast-jet,hazelcast-jet-distribution,FC0
javaparser,javaparser-symbol-solver-testing,C1
jcabi-github,jcabi-github,C3
mahout,math,FC0
mahout,hdfs,FC0
mahout,mr,FC0
mahout,integration,FC0
mahout,examples,FC0
mahout,math-scala,FC0
mahout,spark,FC0
mahout,h2o,FC0
mapdb,mapdb,C3
opennlp,opennlp-tools,FC0
opennlp,opennlp-uima,FC0
opennlp,opennlp-brat-annotator,FC0
opennlp,opennlp-morfologik-addon,FC0
optaplanner,optaplanner-examples,FC0
rultor,rultor,C3
search-guard,search-guard,FC0
togglz,slack,C1
twilio-java,twilio-java,FC0
vavr,vavr-match,C3
vavr,vavr,C3
vavr,vavr-benchmark,C3
vavr,vavr-test,C3
zxing,core,FC0
zxing,javase,FC0
zxing,zxingorg,FC0
zxing,zxing.appspot.com,FC0
