name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
zavtech_morpheus-core,0508022303,SUCCESS,SUCCESS,535,523.73,2962,1,0
apache_avro,0508022303,SUCCESS,SUCCESS,812,249.48299999999995,3765,181,0
spring-projects_spring-boot,0508022303,FAILURE,FAILURE,1270,476.86499999999944,5865,711,27
twilio_twilio-java,0508022303,SUCCESS,SUCCESS,171,1051.88,2529,369,0
javaparser_javaparser,0508022303,SUCCESS,SUCCESS,359,311.61599999999976,2363,218,0
activiti_activiti,0508022303,SUCCESS,SUCCESS,494,452.5020000000003,2093,400,0
java-design-patterns,0508022303,SUCCESS,FAILURE,677,227.0629999999999,4412,343,2
apache_incubator-dubbo,0508022303,SUCCESS,SUCCESS,818,685.296,2663,346,3
netty,0508022303,FAILURE,FAILURE,1386,839.8039999999999,13957,460,0
kiegroup_optaplanner,0508022303,SUCCESS,FAILURE,42.422,11.994,1225,202,1
google_guava,0508022303,FAILURE,FAILURE,1018,939.060999999998,1701837,497,1
square_okhttp,0508022303,SUCCESS,SUCCESS,286,233.255,2643,83,0
floragunncom_search-guard,0508022303,SUCCESS,SUCCESS,396,1057.357,111,21,0
apache_gora,0508022303,SUCCESS,?,0,82.735,103,18,0
