name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
zavtech_morpheus-core,508022303,SUCCESS,SUCCESS,535,523.73,2962,1,0
apache_avro,508022303,SUCCESS,SUCCESS,812,249.483,3765,181,0
spring-projects_spring-boot,508022303,SUCCESS,SUCCESS,1270,476.865,5865,711,27
twilio_twilio-java,508022303,SUCCESS,SUCCESS,171,1051.88,2529,369,0
javaparser_javaparser,508022303,SUCCESS,SUCCESS,359,311.616,2363,218,0
activiti_activiti,508022303,SUCCESS,SUCCESS,494,452.502,2093,400,0
java-design-patterns,508022303,SUCCESS,SUCCESS,677,227.063,4412,343,2
apache_incubator-dubbo,508022303,SUCCESS,SUCCESS,818,685.296,2663,346,0
netty,508022303,SUCCESS,SUCCESS,1386,839.804,13957,460,0
kiegroup_optaplanner,508022303,SUCCESS,SUCCESS,430.8,410,1225,202,0
google_guava,508022303,SUCCESS,SUCCESS,1018,939.060999999998,1701837,497,1
square_okhttp,508022303,SUCCESS,SUCCESS,286,233.255,2643,83,0
floragunncom_search-guard,508022303,SUCCESS,SUCCESS,396,1057.357,111,21,0
apache_gora,508022303,SUCCESS,SUCCESS,1705.8,82.735,103,18,0
