name,compiled,tested,tests,suites,failures,runs,mvn_time_avg,mvn_time_sd,xml_time_avg,xml_time_sd
alibaba_nacos,SUCCESS,SUCCESS,19,11,2,3,22.52,NA,3.611,NA
alipay_sofa-ark,SUCCESS,SUCCESS,99,38,0,3,27.156,NA,6.628,NA
apache_activemq-artemis,SUCCESS,SUCCESS,1030,146,0,3,246,NA,122.131,NA
apache_avro,SUCCESS,SUCCESS,3765,181,0,3,623,NA,186.708,NA
apache_flume,SUCCESS,SUCCESS,1330,187,1,3,3312,NA,3008.966,NA
apache_hama,SUCCESS,SUCCESS,169,62,0,3,292,NA,0.304,NA
apache_incubator-edgent,SUCCESS,SUCCESS,494,56,0,3,548,NA,429.28,NA
apache_incubator-hivemall,SUCCESS,SUCCESS,727,162,0,3,618,NA,444.264,NA
apache_oozie,SUCCESS,FAILURE,2922,421,1,3,3346,NA,3323.316,NA
apache_opennlp,SUCCESS,SUCCESS,777,193,0,3,97,NA,155.615,NA
apache_servicecomb-java-chassis,SUCCESS,SUCCESS,2376,545,0,3,186,NA,147.574,NA
apereo_java-cas-client,SUCCESS,SUCCESS,161,32,0,3,11.597,NA,3.675,NA
ArcBees_gwtchosen,SUCCESS,SUCCESS,1,1,0,3,14.268,NA,9.332,NA
Atmosphere_nettosphere,SUCCESS,SUCCESS,29,4,0,3,44.419,NA,53.412,NA
aws_aws-sdk-java-v2,SUCCESS,SUCCESS,1879,284,0,3,807,NA,135.958,NA
awslabs_amazon-kinesis-aggregators,SUCCESS,SUCCESS,0,0,0,3,1.108,NA,0,NA
Azure_azure-sdk-for-java,SUCCESS,SUCCESS,0,0,0,3,0.376,NA,0,NA
b3log_latke,SUCCESS,SUCCESS,51,1,0,3,15.914,NA,4.637,NA
BaseXdb_basex,SUCCESS,SUCCESS,2074,198,0,3,272,NA,165.074,NA
beanshell_beanshell,SUCCESS,SUCCESS,457,30,0,3,15.24,NA,10.177,NA
beijunyi_ParallelGit,SUCCESS,SUCCESS,854,140,0,3,9.656,NA,6.242,NA
biojava_biojava,SUCCESS,SUCCESS,1192,232,0,3,931,NA,792.487,NA
bouncestorage_chaos-http-proxy,SUCCESS,SUCCESS,19,2,0,3,76,NA,71.902,NA
brettwooldridge_NuProcess,SUCCESS,SUCCESS,22,7,0,3,59.506,NA,55.874,NA
brettwooldridge_SansOrm,SUCCESS,SUCCESS,85,10,0,3,13.355,NA,4.684,NA
brianway_webporter,SUCCESS,SUCCESS,17,10,0,3,5.2,NA,0.911,NA
broadgsa_gatk,SUCCESS,SUCCESS,0,0,0,3,29.324,NA,0,NA
cache2k_cache2k,SUCCESS,SUCCESS,5113,100,0,3,110,NA,194.686,NA
camunda_camunda-bpm-spring-boot-starter,SUCCESS,SUCCESS,109,32,0,3,129,NA,7.442,NA
cardillo_joinery,SUCCESS,SUCCESS,232,20,0,3,40.322,NA,7.185,NA
cdapio_tephra,SUCCESS,SUCCESS,264,45,0,3,467,NA,317.923,NA
cflint_CFLint,SUCCESS,SUCCESS,610,67,0,3,63,NA,56.764,NA
confluentinc_kafka-streams-examples,SUCCESS,SUCCESS,65,39,0,3,730,NA,526.718,NA
datastax_java-driver,SUCCESS,SUCCESS,513,1,0,3,67,NA,11.432,NA
dcaoyuan_nbscala,SUCCESS,SUCCESS,5,1,0,3,72,NA,0.351,NA
deeplearning4j_dl4j-examples,SUCCESS,SUCCESS,0,0,0,3,866,NA,0,NA
demoiselle_framework,SUCCESS,SUCCESS,228,26,0,3,26.314,NA,4.036,NA
dropwizard_metrics,SUCCESS,SUCCESS,566,94,0,3,50.181,NA,30.597,NA
easymock_easymock,SUCCESS,SUCCESS,675,101,0,3,17.326,NA,4.977,NA
eBay_parallec,SUCCESS,SUCCESS,136,51,0,3,142,NA,120.474,NA
eclipse_californium,SUCCESS,SUCCESS,498,69,0,3,109,NA,90.322,NA
eclipse_hawkbit,SUCCESS,SUCCESS,1067,108,0,3,659,NA,612.642,NA
eclipse_leshan,SUCCESS,SUCCESS,302,40,0,3,45.994,NA,69.199,NA
eclipse_rdf4j,SUCCESS,SUCCESS,1217,81,0,3,168,NA,3.855,NA
elennick_retry4j,SUCCESS,SUCCESS,97,1,0,3,11.603,NA,7.064,NA
Erudika_para,SUCCESS,SUCCESS,252,27,0,3,69,NA,18.869,NA
Erudika_scoold,SUCCESS,SUCCESS,0,0,0,3,2.865,NA,0,NA
eugenp_tutorials,SUCCESS,SUCCESS,0,0,0,3,1.932,NA,0,NA
fabric8io_docker-maven-plugin,SUCCESS,SUCCESS,442,62,0,3,37.588,NA,24.732,NA
fabric8io_spring-cloud-kubernetes,SUCCESS,SUCCESS,9,3,0,3,28.349,NA,14.884,NA
