name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
flowable_flowable-engine,23012019015950,SUCCESS,SUCCESS,741,712.9989999999998,3500,467,0
jenkinsci_selenium-plugin,23012019015950,SUCCESS,SUCCESS,68,54.151,50,2,0
apereo_java-cas-client,23012019015950,SUCCESS,SUCCESS,11.597,3.6749999999999976,161,32,0
protostuff_protostuff,23012019015950,SUCCESS,SUCCESS,42.958,8.616,1419,169,0
eugenp_tutorials,23012019015950,SUCCESS,SUCCESS,1.932,0,0,0,0
SonarSource_sonar-java,23012019015950,SUCCESS,SUCCESS,96,77.01900000000018,2555,773,0
perwendel_spark,23012019015950,SUCCESS,SUCCESS,46.048,20.106999999999992,304,43,0
Multiverse_Multiverse-Core,23012019015950,SUCCESS,SUCCESS,30.641,18.016000000000002,11,6,0
Netflix_curator,23012019015950,SUCCESS,SUCCESS,76,69.33399999999999,44,8,0
gardncl_elements-of-programming-interviews,23012019015950,SUCCESS,SUCCESS,7.088,0,0,0,0
JakeWharton_RxRelay,23012019015950,SUCCESS,SUCCESS,5.867,1.361,58,6,0
vmware_admiral,23012019015950,SUCCESS,FAILURE,1277,1069.4270000000004,1538,240,2
apache_avro,23012019015950,SUCCESS,SUCCESS,623,186.708,3765,181,0
apache_activemq-artemis,23012019015950,SUCCESS,SUCCESS,246,122.13100000000001,1030,146,0
sismics_reader,23012019015950,SUCCESS,SUCCESS,83,70.14,97,27,0
demoiselle_framework,23012019015950,SUCCESS,SUCCESS,26.314,4.036,228,26,0
b3log_latke,23012019015950,SUCCESS,SUCCESS,15.914,4.637,51,1,0
biojava_biojava,23012019015950,SUCCESS,SUCCESS,931,792.4869999999996,1192,232,0
OpenSmpp_opensmpp,23012019015950,SUCCESS,SUCCESS,49.064,34.352999999999994,151,10,0
cdapio_tephra,23012019015950,SUCCESS,SUCCESS,467,317.9229999999999,264,45,0
OryxProject_oryx,23012019015950,SUCCESS,SUCCESS,1352,94.84099999999998,393,104,0
eclipse_rdf4j,23012019015950,SUCCESS,SUCCESS,168,3.8549999999999978,1217,81,0
lejon_T-SNE-Java,23012019015950,SUCCESS,SUCCESS,301,283.818,20,3,0
NLPchina_Word2VEC_java,23012019015950,SUCCESS,SUCCESS,1.181,0,0,0,0
spring-projects_spring-data-cassandra,23012019015950,SUCCESS,FAILURE,120,5.255999999999996,1120,114,0
elennick_retry4j,23012019015950,SUCCESS,SUCCESS,11.603,7.064,97,1,0
datastax_java-driver,23012019015950,SUCCESS,SUCCESS,67,11.432,513,1,0
withstars_Books-Management-System,23012019015950,SUCCESS,SUCCESS,1.817,0,0,0,0
geotools_geotools,23012019015950,SUCCESS,SUCCESS,591,487.15099999999853,8574,1433,0
ImmobilienScout24_yum-repo-server,23012019015951,SUCCESS,SUCCESS,64,7.683999999999999,192,42,0
twilio_twilio-java,23012019015951,SUCCESS,SUCCESS,88,632.6979999999998,2377,351,0
Erudika_scoold,23012019015951,SUCCESS,SUCCESS,2.865,0,0,0,0
jrtom_jung,23012019015951,SUCCESS,SUCCESS,23.433,11.915999999999997,232,57,0
ios-driver_ios-driver,23012019015951,SUCCESS,SUCCESS,18.803,0.138,5,2,0
usethesource_rascal,23012019015951,SUCCESS,SUCCESS,123,111.918,5359,1,0
pulse00_Symfony-2-Eclipse-Plugin,23012019015951,SUCCESS,SUCCESS,138,5.049,16,1,0
brettwooldridge_SansOrm,23012019015951,SUCCESS,SUCCESS,13.355,4.684,85,10,0
SonarSource_sonar-scanner-jenkins,23012019015951,SUCCESS,SUCCESS,116,100.90400000000002,192,40,0
javaparser_javaparser,23012019015951,SUCCESS,SUCCESS,600,578.6789999999992,2332,215,0
uber_uReplicator,23012019015951,SUCCESS,SUCCESS,1809,1596.4779999999998,32,23,0
aws_aws-sdk-java-v2,23012019015951,SUCCESS,SUCCESS,807,135.95800000000008,1879,284,0
zxing_zxing,23012019015951,SUCCESS,SUCCESS,85,126.75900000000001,452,140,0
ArcBees_gwtchosen,23012019015951,SUCCESS,SUCCESS,14.268,9.332,1,1,0
apache_servicecomb-java-chassis,23012019015951,SUCCESS,SUCCESS,186,147.57399999999998,2376,545,0
sakaiproject_sakai,23012019015951,SUCCESS,SUCCESS,442,293.82199999999983,1545,257,0
weld_core,23012019015951,SUCCESS,SUCCESS,192,119.69300000000005,1489,664,0
oracle_helidon,23012019015951,SUCCESS,SUCCESS,432,337.3769999999998,2573,282,0
brettwooldridge_NuProcess,23012019015951,SUCCESS,SUCCESS,59.506,55.873999999999995,22,7,0
takari_polyglot-maven,23012019015951,SUCCESS,SUCCESS,80,29.224,190,31,0
apache_incubator-hivemall,23012019015951,SUCCESS,SUCCESS,618,444.264,727,162,0
