project,time
apache_flume,3.034
apache_flume,1.071
apache_flume,1.059
apache_flume,17.236
apache_flume,0.067
apache_flume,0.028
apache_flume,0.239
apache_flume,0.008
apache_flume,0.052
apache_flume,0
apache_flume,0
apache_flume,0.003
apache_flume,0.103
apache_flume,0.003
apache_flume,1.932
apache_flume,1.969
apache_flume,1.778
apache_flume,11.933
apache_flume,1.763
apache_flume,2.254
apache_flume,2.26
apache_flume,2.234
apache_flume,0.03
apache_flume,191.618
apache_flume,0
apache_flume,15.019
apache_flume,5.001
apache_flume,10.007
apache_flume,0.007
apache_flume,6.412
apache_flume,0.006
apache_flume,0.414
apache_flume,0.003
apache_flume,0
apache_flume,0.014
apache_flume,0.001
apache_flume,0
apache_flume,0
apache_flume,0.03
apache_flume,0.001
apache_flume,2.101
apache_flume,0.006
apache_flume,0.041
apache_flume,0
apache_flume,0.001
apache_flume,0.001
apache_flume,6.308
apache_flume,1.999
apache_flume,0
apache_flume,0.013
apache_flume,0.623
apache_flume,0.019
apache_flume,0
apache_flume,0
apache_flume,0
apache_flume,0.001
apache_flume,0
apache_flume,0
apache_flume,0
apache_flume,0.001
apache_flume,0
apache_flume,0.001
apache_flume,0
apache_flume,0
apache_flume,0
apache_flume,0.012
apache_flume,0.003
apache_flume,0.005
apache_flume,0.001
apache_flume,0
apache_flume,5.037
apache_flume,4.557
apache_flume,4.536
apache_flume,4.531
apache_flume,4.521
apache_flume,1.055
apache_flume,11.949
apache_flume,0
apache_flume,3.831
apache_flume,3.94
apache_flume,0.455
apache_flume,0.185
apache_flume,0.001
apache_flume,0.001
apache_flume,1.335
apache_flume,0.713
apache_flume,2.662
apache_flume,3.044
apache_flume,4.044
apache_flume,0.044
apache_flume,0.069
apache_flume,0.003
apache_flume,0.001
apache_flume,0
apache_flume,0
apache_flume,0
apache_flume,0.001
apache_flume,0.001
apache_flume,0.001
apache_flume,0.001
apache_flume,0
apache_flume,0.003
apache_flume,0.019
apache_flume,0.003
apache_flume,17.732
apache_flume,0.027
apache_flume,0.002
apache_flume,4.521
apache_flume,0.026
apache_flume,0.016
apache_flume,0.015
apache_flume,0.027
apache_flume,0.015
apache_flume,0.158
apache_flume,7.006
apache_flume,5.28
apache_flume,3.279
apache_flume,6.257
apache_flume,7.22
apache_flume,0.123
apache_flume,0.109
apache_flume,0.051
apache_flume,0
apache_flume,0.397
apache_flume,0.001
apache_flume,0.002
apache_flume,0.12
apache_flume,0.002
apache_flume,0.158
apache_flume,0.001
apache_flume,9
apache_flume,10.773
