project,time
apache_activemq-artemis,0.001
apache_activemq-artemis,0
apache_activemq-artemis,0.05
apache_activemq-artemis,0
apache_activemq-artemis,0
apache_activemq-artemis,0
apache_activemq-artemis,0.009
apache_activemq-artemis,0.008
apache_activemq-artemis,0.001
apache_activemq-artemis,0
apache_activemq-artemis,0.008
apache_activemq-artemis,0.006
apache_activemq-artemis,0.002
apache_activemq-artemis,0
apache_activemq-artemis,0
apache_activemq-artemis,0.1
apache_activemq-artemis,0
apache_activemq-artemis,0.008
apache_activemq-artemis,0.002
apache_activemq-artemis,0.002
apache_activemq-artemis,0.002
apache_activemq-artemis,0.165
apache_activemq-artemis,0.006
apache_activemq-artemis,0.004
apache_activemq-artemis,0.001
apache_activemq-artemis,0.015
apache_activemq-artemis,0.051
apache_activemq-artemis,0.051
apache_activemq-artemis,0.102
apache_activemq-artemis,0.001
apache_activemq-artemis,0.004
apache_activemq-artemis,0.424
apache_activemq-artemis,0.298
apache_activemq-artemis,0.159
apache_activemq-artemis,0.017
apache_activemq-artemis,0.019
apache_activemq-artemis,0.061
apache_activemq-artemis,0.017
apache_activemq-artemis,0.024
apache_activemq-artemis,0
apache_activemq-artemis,0
apache_activemq-artemis,0
apache_activemq-artemis,0
apache_activemq-artemis,0.117
apache_activemq-artemis,0.133
apache_activemq-artemis,0.02
apache_activemq-artemis,0.018
apache_activemq-artemis,0.137
apache_activemq-artemis,0.148
apache_activemq-artemis,1.347
apache_activemq-artemis,0.033
apache_activemq-artemis,0.107
apache_activemq-artemis,0.712
apache_activemq-artemis,0.015
apache_activemq-artemis,0.115
apache_activemq-artemis,0.106
apache_activemq-artemis,0.14
apache_activemq-artemis,0.106
apache_activemq-artemis,0.017
apache_activemq-artemis,0.016
apache_activemq-artemis,0.122
apache_activemq-artemis,0.004
apache_activemq-artemis,0.055
apache_activemq-artemis,0.001
apache_activemq-artemis,0.006
apache_activemq-artemis,0.002
apache_activemq-artemis,0.003
apache_activemq-artemis,0.003
apache_activemq-artemis,0.003
apache_activemq-artemis,0.003
apache_activemq-artemis,0.001
apache_activemq-artemis,0.002
apache_activemq-artemis,0.003
apache_activemq-artemis,0.004
apache_activemq-artemis,0.003
