created_at,default_branch,fork,full_name,pushed_at,size,stargazers_count
2013-04-24T03:11:01Z,stable,False,Libresonic/libresonic,2017-11-14T15:41:04Z,278225,783
2013-09-02T15:32:37Z,master,False,ivan-vasilev/neuralnetworks,2017-11-26T03:25:39Z,192738,1200
2016-05-27T20:19:00Z,master,False,mrwilson/byte-monkey,2018-02-07T15:54:50Z,114,168
2014-11-17T07:40:57Z,develop,False,kaazing/gateway,2018-02-14T04:02:58Z,20672,119
2012-09-27T19:30:12Z,master,False,sayems/java.webdriver,2018-02-17T03:01:36Z,45548,106
2017-09-09T00:16:59Z,master,False,withstars/Blog-System,2018-03-13T09:57:44Z,18085,172
2015-03-08T15:59:36Z,master,False,nativelibs4java/BridJ,2018-03-16T11:45:27Z,9522,212
2014-12-20T13:00:28Z,master,False,lejon/T-SNE-Java,2018-03-25T11:52:35Z,2147,158
2013-10-15T12:42:13Z,master,False,NLPchina/Word2VEC_java,2018-04-02T07:53:51Z,18664,534
2011-07-14T19:47:55Z,master,False,Netflix/curator,2018-05-03T13:24:07Z,7545,1994
2012-05-11T18:20:14Z,master,False,facebookarchive/nifty,2018-05-16T19:04:25Z,1005,862
2016-11-24T04:44:44Z,master,False,brianway/webporter,2018-06-04T09:09:20Z,141,1879
2010-03-01T11:16:08Z,master,False,pulse00/Symfony-2-Eclipse-Plugin,2018-06-27T20:28:26Z,79033,221
2013-05-06T08:14:17Z,master,False,timboudreau/netty-http-client,2018-07-26T20:50:49Z,512,256
2013-05-15T14:50:39Z,master,False,rackerlabs/blueflood,2018-08-04T11:24:21Z,11450,587
2014-11-02T16:11:21Z,master,False,opencredo/test-automation-quickstart,2018-08-09T10:25:49Z,187,105
2016-07-19T05:44:10Z,master,False,xuminwlt/j360-dubbo-app-all,2018-08-17T06:49:06Z,637,304
2011-06-28T13:08:01Z,master,False,broadgsa/gatk,2018-08-22T17:59:41Z,249428,265
2013-02-25T14:28:50Z,master,False,broadgsa/gatk-protected,2018-08-22T18:03:12Z,255234,140
2016-10-16T14:47:14Z,master,False,Syncleus/aparapi,2018-09-14T12:16:14Z,21261,213
2018-08-22T13:13:27Z,master,False,dataArtisans/da-streamingledger,2018-09-19T14:58:47Z,74,119
2014-11-01T18:34:43Z,master,False,cardillo/joinery,2018-09-24T10:58:46Z,647,312
2014-06-03T07:41:46Z,master,False,xtreemfs/xtreemfs,2018-10-01T19:23:30Z,204436,271
2011-04-06T12:14:42Z,master,False,dcaoyuan/nbscala,2018-10-02T11:28:23Z,181919,247
2017-04-05T22:46:33Z,master,False,gardncl/elements-of-programming-interviews,2018-10-05T00:07:00Z,367,544
2015-05-26T08:42:56Z,master,False,mmnaseri/cs-review,2018-10-15T16:15:38Z,830,100
2014-06-23T22:33:07Z,master,False,spotify/docker-maven-plugin,2018-10-18T13:10:40Z,782,1987
2012-08-17T14:07:17Z,master,False,RestComm/sip-servlets,2018-10-31T13:16:12Z,69412,144
2011-07-26T12:03:27Z,master,False,shrinkwrap/resolver,2018-11-09T17:05:09Z,3242,104
2013-03-05T09:05:35Z,master,False,NGDATA/hbase-indexer,2018-11-13T19:07:43Z,3376,293
2013-02-24T21:35:52Z,master,False,latexdraw/latexdraw,2018-11-22T20:07:55Z,34066,224
2015-03-21T23:35:59Z,master,False,bouncestorage/chaos-http-proxy,2018-11-23T22:27:05Z,51,116
2015-03-13T16:14:06Z,master,False,raydac/java-binary-block-parser,2018-11-24T19:22:58Z,7047,119
2012-10-08T22:48:32Z,master,False,brettwooldridge/SansOrm,2018-12-03T06:21:42Z,304,175
2014-12-16T22:46:28Z,master,False,gaul/are-we-consistent-yet,2018-12-03T02:48:30Z,34,125
2013-04-19T10:46:35Z,master,False,Diabol/delivery-pipeline-plugin,2019-03-06T09:24:20Z,2204,105
2014-10-21T07:00:09Z,trunk,False,apache/hadoop-common,2019-04-03T14:40:41Z,270460,135
2014-03-21T07:00:07Z,master,False,apache/tajo,2018-12-11T03:36:10Z,30492,112
2013-02-11T18:22:00Z,master,False,OpenSmpp/opensmpp,2018-12-14T15:11:11Z,2751,121
2013-06-03T02:48:09Z,master,False,StripesFramework/stripes,2018-12-19T10:12:58Z,19715,148
2010-12-14T20:32:06Z,master,False,jenkinsci/selenium-plugin,2019-03-26T10:19:37Z,150829,106
2013-09-03T03:53:16Z,master,False,alibaba/jstorm,2018-12-20T07:07:29Z,107798,3795
2014-10-18T18:10:08Z,develop,False,datumbox/datumbox-framework,2018-12-26T11:59:39Z,4492,1022
2015-01-04T11:32:28Z,master,False,openwms/org.openwms,2018-12-26T18:22:27Z,83871,109
2017-08-27T10:51:18Z,master,False,withstars/Books-Management-System,2019-01-05T09:49:00Z,7831,257
2016-04-10T14:31:09Z,master,False,widdix/aws-ec2-ssh,2019-01-07T16:49:35Z,208,666
2014-06-26T19:45:58Z,master,False,locationtech/geogig,2019-01-09T20:47:53Z,23244,285
2012-08-17T17:47:44Z,master,False,RestComm/Restcomm-Connect,2019-01-11T15:14:04Z,170638,199
2012-07-25T02:57:20Z,master,False,airlift/aircompressor,2019-01-11T20:36:37Z,72978,134
2011-08-17T13:43:48Z,master,False,SeleniumHQ/fluent-selenium,2019-01-12T03:44:10Z,1388,127
2010-07-12T18:13:19Z,master,False,ning/compress,2019-01-13T23:26:57Z,3135,200
2010-10-04T18:49:09Z,master,False,lemire/javaewah,2019-01-15T01:15:59Z,2273,391
2015-02-25T16:37:24Z,master,False,openimaj/openimaj,2019-01-17T14:04:04Z,493901,201
2015-07-05T23:36:58Z,master,False,jrtom/jung,2019-01-22T04:03:20Z,4745,240
2015-01-04T14:36:24Z,master,False,sakserv/hadoop-mini-clusters,2019-01-22T14:13:23Z,222246,206
2015-07-05T20:44:44Z,master,False,kpavlov/jreactive-8583,2019-01-23T18:39:23Z,197,150
