created_at,default_branch,fork,full_name,pushed_at,size,stargazers_count
2011-11-09T08:00:09Z,master,False,apache/opennlp,2018-12-17T12:40:55Z,14506,702
2011-05-05T11:52:05Z,master,False,perwendel/spark,2018-12-06T15:18:24Z,2390,7940
2015-04-15T17:08:15Z,1.7,False,neo4j/neo4j-java-driver,2018-12-19T16:34:44Z,6658,146
2012-06-20T12:41:19Z,develop,False,Sable/soot,2018-12-19T13:41:02Z,210283,1047
2011-08-10T06:16:44Z,master,False,spring-projects/spring-data-cassandra,2018-12-11T10:44:41Z,8776,224
2013-02-17T11:51:14Z,version5,False,owlcs/owlapi,2018-12-12T22:22:42Z,161474,376
2013-03-17T10:00:22Z,master,False,finmath/finmath-lib,2018-12-12T18:57:57Z,31587,151
2009-09-15T06:04:28Z,master,False,twilio/twilio-java,2018-12-14T22:10:29Z,28915,310
2013-04-03T16:27:17Z,master,False,biojava/biojava,2018-12-14T19:28:19Z,46883,272
2013-02-11T18:22:00Z,master,False,OpenSmpp/opensmpp,2018-12-14T15:11:11Z,2751,113
2012-08-10T21:52:42Z,master,False,NanoHttpd/nanohttpd,2018-12-16T19:22:54Z,1342,4284
2012-02-10T12:46:48Z,master,False,oshi/oshi,2018-12-16T16:53:24Z,76771,724
2017-08-18T22:07:36Z,5.0.1-post,False,confluentinc/kafka-streams-examples,2018-12-16T00:57:10Z,1584,586
2011-10-12T14:07:27Z,master,False,zxing/zxing,2018-12-17T17:28:58Z,239617,21006
2013-06-02T15:11:33Z,master,False,OpenHFT/Chronicle-Queue,2018-12-17T23:15:52Z,48451,1602
2011-08-12T18:20:14Z,trunk,False,apache/flume,2018-12-17T19:34:27Z,44102,1499
2016-03-25T14:32:54Z,master,False,fabric8io/spring-cloud-kubernetes,2018-12-17T17:04:46Z,370,563
2011-02-16T15:02:14Z,master,False,BaseXdb/basex,2018-12-17T17:28:56Z,108550,378
2017-10-13T15:27:53Z,master,False,HotelsDotCom/styx,2018-12-19T16:11:27Z,3773,169
2015-11-09T19:19:06Z,master,False,eclipse/hawkbit,2018-12-19T14:29:04Z,19410,158
2016-01-14T19:47:32Z,master,False,eclipse/rdf4j,2018-12-19T16:59:35Z,12408,136
2010-12-10T13:35:42Z,master,False,radargun/radargun,2018-12-17T13:29:51Z,6830,104
2017-05-18T09:29:30Z,master,False,apache/servicecomb-java-chassis,2018-12-19T14:18:22Z,13894,729
2012-07-12T13:51:37Z,master,False,takari/polyglot-maven,2018-12-18T04:35:48Z,1776,615
2013-06-22T14:36:32Z,master,False,ff4j/ff4j,2018-12-18T00:39:28Z,9409,493
2017-05-08T21:52:58Z,master,False,kubernetes-client/java,2018-12-18T09:32:20Z,5091,405
2017-06-23T18:56:01Z,master,False,aws/aws-sdk-java-v2,2018-12-19T18:35:25Z,19645,346
2017-09-28T02:42:23Z,master,False,nuls-io/nuls,2018-12-18T10:36:53Z,68931,306
2014-03-09T22:31:26Z,master,False,Erudika/para,2018-12-18T13:43:11Z,3614,232
2015-06-16T04:05:20Z,master,False,camunda/camunda-bpm-spring-boot-starter,2018-12-19T13:59:45Z,4772,178
2016-11-22T03:44:55Z,master,False,spotify/styx,2018-12-18T08:19:59Z,6370,123
