name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
impossibl_pgjdbc-ng,0822082044,SUCCESS,FAILURE,7.889,1.5949999999999998,1475,47,1441
impossibl_pgjdbc-ng,0820095722,SUCCESS,FAILURE,7.626,1.4989999999999999,1475,47,1441
impossibl_pgjdbc-ng,0818134515,SUCCESS,FAILURE,7.691,1.397,1475,47,1441
windy1_google-places-api-java,0822082044,SUCCESS,FAILURE,1.781,0.304,1,1,1
windy1_google-places-api-java,0820095722,SUCCESS,FAILURE,1.767,0.328,1,1,1
windy1_google-places-api-java,0818134515,SUCCESS,FAILURE,1.78,0.307,1,1,1
saikrishna321_AppiumTestDistribution,0822082044,SUCCESS,FAILURE,3.54,0.904,24,1,10
saikrishna321_AppiumTestDistribution,0820095722,SUCCESS,FAILURE,3.49,0.895,24,1,10
saikrishna321_AppiumTestDistribution,0818134515,SUCCESS,FAILURE,3.45,0.909,24,1,10
a2888409_face2face,0822082044,SUCCESS,SUCCESS,0.904,0,0,0,0
a2888409_face2face,0820095722,SUCCESS,SUCCESS,0.867,0,0,0,0
a2888409_face2face,0818134515,SUCCESS,SUCCESS,0.828,0,0,0,0
qos-ch_logback-extensions,0822082044,SUCCESS,SUCCESS,7.768,6.13,3,2,0
qos-ch_logback-extensions,0820095722,SUCCESS,SUCCESS,7.775,6.132,3,2,0
qos-ch_logback-extensions,0818134515,SUCCESS,SUCCESS,7.81,6.138,3,2,0
4thline_cling,0822082044,FAILURE,FAILURE,61,53.745,340,1,0
4thline_cling,0820095722,FAILURE,FAILURE,63,53.354,340,1,0
4thline_cling,0818134515,FAILURE,FAILURE,58.791,53.122,340,1,0
keycloak_keycloak,0822082044,FAILURE,FAILURE,705,255.09199999999998,758,146,0
keycloak_keycloak,0820095722,FAILURE,FAILURE,718,258.519,758,146,0
keycloak_keycloak,0818134515,FAILURE,FAILURE,705,253.82500000000005,758,146,0
AdoptOpenJDK_jitwatch,0822082044,SUCCESS,SUCCESS,34.722,33.068,249,29,0
AdoptOpenJDK_jitwatch,0820095722,SUCCESS,SUCCESS,34.982,33.230000000000004,249,29,0
AdoptOpenJDK_jitwatch,0818134515,SUCCESS,SUCCESS,34.834,33.09899999999999,249,29,0
javaslang_javaslang,0822082044,SUCCESS,SUCCESS,136,538.2349999999996,14520,132,0
javaslang_javaslang,0820095722,SUCCESS,SUCCESS,130,651.954,14520,132,0
javaslang_javaslang,0818134515,SUCCESS,SUCCESS,138,508.546,14520,132,0
bytedeco_javacpp-presets,0822082044,FAILURE,FAILURE,0.883,0,0,0,0
bytedeco_javacpp-presets,0820095722,FAILURE,FAILURE,0.869,0,0,0,0
bytedeco_javacpp-presets,0818134515,FAILURE,FAILURE,0.892,0,0,0,0
dibbhatt_kafka-spark-consumer,0814233256,SUCCESS,SUCCESS,11.968,10.305,5,2,0
dibbhatt_kafka-spark-consumer,0822082044,SUCCESS,SUCCESS,10.49,8.823,5,2,0
dibbhatt_kafka-spark-consumer,0820095722,SUCCESS,SUCCESS,11.662,10.039,5,2,0
apache_tinkerpop,0822082044,FAILURE,FAILURE,2.351,0,0,0,0
apache_tinkerpop,0820095722,FAILURE,FAILURE,2.477,0,0,0,0
apache_tinkerpop,0818134515,FAILURE,FAILURE,2.513,0,0,0,0
spotify_docker-maven-plugin,0822082044,SUCCESS,SUCCESS,14.281,5.279999999999999,59,8,0
spotify_docker-maven-plugin,0820095722,SUCCESS,SUCCESS,13.975,5.135,59,8,0
